timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.648,1.921,-0.815,-0.227,-0.329,1.47,-0.433,0.374,-0.133,0.499,0.387,1.054,0.275,-0.349,0.779,0.185,0.108,-0.149,-0.102,0.18,0.083,0.149,-0.172,-0.14,0.503,-0.155,0.116,0.259,0.204,0.082,0.424,-0.347,-0.109,-0.22,0.227,-0.021,-0.039,0.044,-0.057,0.141,0.117,-0.123,0.132,0.233,0.013,-0.098,-0.257,-0.329,0.11,-0.15,-0.254,-0.041,-0.161,-0.172,0.071,0.174,0.087,-0.204,-0.088,0.179,-0.039,-0.026,0.076,-0.12,-0.103,-0.046,-0.215,-0.03,-0.1,0.059
50,1.591,1.941,-0.802,-0.226,-0.244,1.433,-0.612,0.566,0.02,0.723,0.235,0.978,0.288,-0.426,1.069,0.344,0.208,-0.056,0.062,0.027,-0.177,0.332,-0.035,-0.085,0.557,-0.281,0.338,-0.075,0.17,0.047,0.463,-0.683,0.092,-0.024,0.111,0.166,0.183,0.238,-0.017,0.154,0.088,-0.167,0.216,0.352,0.009,0.024,-0.349,-0.141,0.141,-0.147,-0.178,-0.106,-0.208,-0.097,0.1,0.088,0.003,-0.08,-0.108,0.204,-0.165,-0.03,0.064,-0.074,0.04,-0.005,-0.161,-0.037,-0.087,-0.002
100,1.675,1.252,-0.95,-0.11,0.102,1.206,-0.281,0.578,-0.162,0.511,0.247,1.119,0.199,-0.093,0.67,0.193,0.196,-0.078,0.022,0.092,-0.02,0.044,-0.106,-0.044,0.549,-0.366,0.153,-0.003,0.483,0.048,0.499,-0.347,0.053,-0.039,0.038,0.124,0.075,0.107,-0.016,-0.092,0.015,-0.242,0.261,0.201,-0.029,-0.01,-0.149,0.027,0.092,0.043,-0.088,0.02,-0.026,-0.01,-0.092,-0.073,-0.024,-0.132,0.002,0.004,0.008,-0.098,0.072,-0.07,-0.133,-0.093,-0.04,-0.041,0.088,0.075
150,1.543,1.76,-0.649,-0.398,0.108,1.221,-0.424,0.698,-0.118,0.915,0.153,1.097,0.042,0.172,1.071,0.721,0.422,-0.317,-0.208,0.483,0.036,0.175,-0.422,-0.02,0.626,-0.383,0.21,-0.375,0.147,0.122,0.775,-0.238,-0.024,0.103,0.016,0.217,0.482,0.32,-0.053,-0.315,-0.138,-0.448,0.286,0.245,-0.006,0.076,-0.309,0.299,0.162,-0.03,0.052,-0.006,-0.023,0.312,-0.116,-0.172,-0.146,-0.023,0.092,-0.057,-0.103,-0.058,0.123,0.048,-0.045,-0.069,0.069,-0.075,0.077,0.006
200,1.599,2.045,-0.942,-0.154,-0.362,1.564,-0.444,0.358,0.102,0.541,0.533,1.22,0.345,-0.381,0.788,0.072,-0.02,-0.241,0.088,0.068,-0.008,0.305,-0.007,-0.146,0.248,-0.2,-0.014,0.315,0.235,0.184,0.264,-0.486,0.174,-0.132,0.195,0.094,0.119,-0.05,-0.081,0.143,0.173,-0.055,0.387,0.288,-0.085,-0.273,-0.044,-0.428,0.294,0.109,-0.33,0.07,-0.238,-0.063,-0.06,-0.096,0.107,-0.177,-0.007,-0.083,0.174,-0.111,0.129,-0.136,-0.154,-0.043,-0.253,-0.01,0.044,0.117
250,1.221,1.752,-0.909,0.001,-0.087,1.267,-0.661,0.559,0.008,0.388,0.241,0.613,0.265,-0.577,0.832,0.053,0.028,0.071,0.134,-0.07,0.121,0.214,0.075,-0.1,0.289,-0.159,0.082,0.213,0.422,-0.164,0.253,-0.335,0.133,-0.129,0.0,0.088,0.047,0.01,0.045,0.206,0.352,-0.017,0.273,0.256,-0.161,-0.064,-0.183,-0.108,0.098,0.101,-0.147,0.065,0.028,0.033,-0.133,-0.023,0.042,-0.092,-0.002,-0.116,0.11,-0.109,0.093,-0.111,-0.229,-0.101,-0.166,-0.04,-0.058,0.06
300,1.617,1.61,-0.938,0.096,-0.185,1.071,-0.608,0.15,0.055,0.339,0.38,0.59,0.241,-0.507,0.474,0.141,-0.02,-0.074,-0.046,0.052,0.207,0.457,0.145,-0.156,0.135,0.029,0.256,0.373,0.169,-0.013,0.011,-0.246,-0.02,0.117,0.128,0.012,0.085,-0.22,-0.006,0.212,0.492,0.113,0.256,0.415,-0.091,-0.023,0.111,-0.317,0.008,0.181,-0.208,0.134,0.01,-0.063,-0.138,-0.006,0.03,-0.199,0.028,-0.176,0.116,-0.099,0.117,-0.048,-0.23,-0.098,-0.201,-0.032,0.002,0.106
350,1.568,1.729,-0.999,-0.234,-0.256,1.383,-0.137,0.503,-0.071,0.666,0.449,0.953,0.29,-0.019,0.689,0.002,0.132,-0.064,0.04,0.141,-0.122,-0.064,-0.076,-0.214,0.49,-0.308,-0.143,0.148,0.502,-0.001,0.572,-0.05,-0.007,0.237,-0.249,0.243,-0.027,-0.425,-0.092,-0.053,-0.175,-0.256,0.386,0.107,0.078,-0.0,-0.183,0.139,-0.009,0.19,-0.145,0.324,0.031,0.135,-0.003,-0.201,0.054,-0.181,0.063,-0.075,0.051,-0.152,0.061,-0.112,0.018,-0.072,-0.133,0.007,0.111,0.082
400,1.61,1.513,-0.956,-0.311,-0.221,1.283,-0.013,0.304,0.005,0.622,0.429,1.137,0.27,0.03,0.589,-0.003,0.015,-0.17,-0.055,0.062,-0.213,-0.037,-0.267,-0.148,0.4,-0.342,-0.019,-0.1,0.393,-0.047,0.514,-0.188,0.032,0.098,-0.104,0.25,0.045,0.065,-0.161,-0.196,-0.141,-0.412,0.329,0.203,0.022,-0.003,-0.313,0.099,0.059,-0.028,-0.102,0.111,-0.064,0.215,0.066,-0.055,-0.027,-0.113,0.048,-0.089,-0.122,-0.085,0.06,-0.054,0.109,0.007,-0.086,0.005,0.151,0.095
450,1.191,1.315,-0.784,-0.064,0.011,0.94,-0.45,0.379,-0.087,0.439,0.161,0.842,0.081,-0.178,0.645,0.239,0.105,-0.249,-0.057,0.317,0.158,0.342,-0.125,0.007,0.157,-0.137,0.143,0.104,0.078,0.134,0.253,-0.267,0.111,-0.23,0.163,-0.027,0.29,0.231,0.051,0.095,0.321,-0.06,0.137,0.229,-0.118,-0.07,-0.037,-0.085,0.175,-0.039,-0.064,-0.03,-0.051,0.039,-0.159,-0.075,-0.005,-0.093,0.017,-0.043,0.063,-0.048,0.104,0.002,-0.202,-0.068,-0.041,-0.105,-0.03,0.077
