timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.31,1.531,-0.914,-0.278,-0.047,1.156,-0.794,0.508,-0.145,0.735,0.126,1.291,-0.013,-0.182,0.632,0.408,0.271,-0.001,-0.0,0.35,0.122,0.17,-0.223,-0.087,0.456,-0.23,0.125,0.128,0.414,0.048,0.566,-0.32,-0.234,0.238,-0.036,0.13,0.144,-0.104,-0.124,-0.093,-0.063,-0.371,0.256,0.292,-0.045,-0.057,-0.116,0.047,0.151,0.095,-0.164,0.173,-0.006,0.111,-0.057,-0.253,0.045,-0.083,0.003,-0.1,0.145,-0.133,0.076,-0.071,-0.157,-0.129,-0.045,-0.001,0.055,0.008
50,1.698,1.913,-0.715,-0.349,-0.102,1.54,-0.625,0.539,-0.055,0.687,0.276,1.247,0.322,-0.393,0.866,0.313,0.069,-0.132,0.071,0.19,0.052,0.155,-0.161,-0.024,0.549,-0.337,0.082,0.137,0.621,-0.071,0.479,-0.466,-0.145,-0.023,0.098,0.212,-0.104,0.178,-0.096,0.009,0.003,-0.32,0.117,0.097,-0.261,-0.033,-0.347,0.043,0.029,-0.177,-0.178,-0.025,-0.002,-0.121,0.116,-0.059,0.047,-0.116,-0.115,0.144,-0.015,-0.067,0.032,-0.089,-0.087,-0.041,-0.087,0.004,0.02,0.083
100,1.551,1.961,-0.882,-0.107,-0.087,1.387,-0.476,0.526,-0.061,0.61,0.286,1.035,0.367,-0.442,0.771,0.143,-0.112,-0.176,-0.095,0.009,-0.115,0.096,-0.188,0.094,0.643,-0.329,0.111,-0.051,0.403,-0.156,0.363,-0.707,-0.334,-0.127,0.201,0.142,-0.242,0.337,-0.271,-0.168,0.064,-0.348,0.017,0.019,-0.218,-0.174,-0.352,-0.283,0.097,-0.306,-0.305,-0.044,-0.177,-0.197,0.203,0.03,0.037,-0.135,-0.053,0.168,0.057,0.02,0.012,-0.217,-0.069,0.001,-0.117,0.003,-0.062,0.094
150,1.317,1.786,-0.991,-0.121,-0.196,1.274,-0.535,0.202,0.018,0.521,0.367,0.626,0.184,-0.265,0.573,-0.023,0.049,-0.005,0.18,-0.082,0.169,0.149,0.014,-0.182,0.162,-0.051,-0.143,0.261,0.31,-0.061,0.331,-0.098,0.102,0.225,0.033,-0.014,0.055,-0.128,0.046,0.093,0.083,-0.108,0.138,0.057,-0.095,-0.016,-0.178,-0.113,0.142,0.022,-0.179,0.214,0.033,-0.008,-0.054,-0.103,0.022,-0.17,-0.006,-0.205,0.193,-0.152,0.029,-0.087,-0.3,-0.032,-0.064,0.014,0.037,0.158
200,1.425,1.777,-1.07,-0.043,0.065,1.349,-0.965,0.642,-0.119,0.493,0.213,0.942,0.148,-0.601,0.767,0.272,0.119,0.067,0.022,0.02,0.137,0.216,-0.057,-0.023,0.402,-0.181,0.287,0.217,0.322,-0.048,0.406,-0.438,-0.136,0.011,0.059,0.066,0.031,0.078,-0.107,0.117,0.295,-0.119,0.231,0.218,-0.099,-0.108,-0.15,0.036,0.115,-0.166,-0.128,0.039,0.067,0.022,-0.015,-0.025,0.007,-0.035,-0.105,-0.086,0.087,-0.077,-0.029,-0.105,-0.181,-0.119,-0.103,0.031,0.016,0.089
250,1.144,1.871,-1.142,-0.027,-0.255,1.271,-0.922,0.366,-0.0,0.342,0.29,0.527,0.187,-0.699,0.691,-0.056,-0.062,0.087,0.044,-0.04,0.069,0.152,0.196,-0.063,0.208,-0.009,0.039,0.501,0.453,-0.183,0.127,-0.591,-0.086,0.028,0.053,0.079,-0.07,-0.232,-0.07,0.171,0.383,0.018,0.239,0.184,-0.137,-0.133,-0.137,-0.223,0.082,0.012,-0.357,0.205,0.012,-0.098,0.001,-0.1,0.07,-0.114,-0.008,-0.116,0.148,-0.088,0.02,-0.186,-0.219,0.001,-0.189,0.02,-0.047,0.08
300,1.408,1.409,-0.848,-0.132,0.107,0.887,-0.552,0.236,-0.209,0.525,0.209,1.117,0.009,-0.043,0.467,0.17,0.113,-0.271,-0.143,0.395,0.256,0.195,-0.336,-0.194,0.166,-0.143,0.049,0.355,0.191,0.16,0.171,-0.148,-0.101,-0.159,0.091,-0.004,0.282,0.038,-0.001,0.03,0.104,-0.136,0.249,0.206,-0.072,-0.117,0.035,-0.028,0.192,-0.014,-0.093,0.095,0.025,0.109,-0.086,-0.095,0.053,-0.066,0.016,-0.091,0.11,-0.062,0.038,-0.02,-0.213,-0.087,-0.07,0.029,-0.015,0.01
350,1.438,1.349,-1.087,-0.244,0.035,1.111,-0.625,0.494,-0.106,0.692,0.086,1.068,0.082,-0.314,0.694,0.269,0.157,0.074,-0.078,0.056,0.011,0.155,-0.126,-0.079,0.421,-0.235,0.072,0.216,0.48,0.088,0.454,-0.289,-0.225,0.184,-0.093,0.163,-0.028,-0.102,-0.166,-0.102,-0.002,-0.222,0.315,0.148,-0.091,0.044,-0.093,-0.083,-0.001,-0.001,-0.127,0.1,-0.055,-0.006,-0.003,0.01,0.057,-0.156,-0.075,0.083,0.041,-0.08,0.009,-0.054,-0.138,-0.11,-0.023,0.016,0.009,0.048
400,1.628,1.503,-1.037,-0.254,-0.027,1.107,-0.683,0.31,-0.25,0.464,0.245,1.162,0.073,-0.454,0.556,0.118,0.103,-0.109,0.029,0.278,0.144,0.142,0.023,-0.063,0.285,-0.077,0.017,0.442,0.313,0.037,0.266,-0.333,0.029,-0.14,0.124,-0.099,0.072,0.01,-0.027,0.141,0.244,-0.115,0.129,0.205,-0.149,-0.128,0.026,-0.287,0.176,-0.029,-0.343,-0.009,-0.159,-0.164,-0.027,-0.017,0.12,-0.135,-0.086,-0.067,0.174,-0.048,0.019,-0.151,-0.143,-0.098,-0.195,0.044,-0.041,0.05
450,1.459,1.715,-0.824,-0.084,0.069,1.259,-0.693,0.679,-0.164,0.554,0.168,1.114,0.207,-0.513,0.823,0.324,0.015,-0.088,-0.078,0.162,0.025,0.151,-0.14,-0.011,0.615,-0.341,0.321,0.021,0.545,-0.05,0.455,-0.501,-0.318,-0.164,0.121,0.18,-0.042,0.445,-0.151,-0.275,0.145,-0.384,0.166,0.179,-0.247,-0.116,-0.216,-0.095,0.17,-0.229,-0.177,-0.264,-0.139,-0.305,0.014,0.058,0.141,-0.155,-0.108,0.186,0.041,0.024,0.075,-0.194,-0.144,-0.049,-0.132,0.008,-0.103,0.087
