timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.453,1.339,-0.897,-0.122,0.176,0.755,-0.464,0.428,-0.124,0.472,0.145,0.744,-0.089,0.0,0.494,0.336,0.184,-0.13,-0.071,0.304,0.226,0.277,-0.066,-0.084,0.185,-0.119,0.112,0.295,0.292,0.104,0.16,-0.05,0.027,0.05,-0.046,0.112,0.428,-0.078,0.038,0.144,0.19,0.014,0.363,0.368,-0.085,-0.013,0.072,0.031,0.232,0.078,0.085,0.093,0.107,0.246,-0.255,-0.285,-0.111,-0.088,0.133,-0.226,0.107,-0.171,0.073,0.108,-0.197,-0.11,0.029,-0.054,0.007,0.019
50,1.556,1.625,-1.023,-0.118,-0.083,1.299,-0.506,0.282,-0.068,0.534,0.31,0.937,0.193,-0.245,0.546,0.14,0.075,0.024,0.137,0.074,0.176,0.201,0.042,-0.168,0.22,-0.178,-0.011,0.326,0.344,-0.01,0.289,-0.208,0.023,0.159,-0.065,0.078,0.094,-0.348,0.001,0.144,0.296,-0.049,0.441,0.248,-0.044,-0.034,0.016,-0.105,0.001,0.23,-0.038,0.258,0.077,0.173,-0.139,-0.185,-0.079,-0.103,0.074,-0.148,0.059,-0.175,0.072,-0.029,-0.206,-0.157,-0.014,-0.038,0.07,0.059
100,1.62,1.371,-0.873,-0.063,0.005,1.047,-0.41,0.236,-0.085,0.309,0.204,1.019,0.112,-0.091,0.525,0.264,0.101,-0.14,0.019,0.211,0.226,0.295,-0.026,-0.032,0.077,-0.097,0.075,0.195,0.186,0.124,0.221,-0.067,0.205,0.036,0.011,-0.032,0.384,0.004,0.062,0.079,0.266,-0.016,0.38,0.332,-0.182,0.063,-0.036,-0.071,0.072,0.115,-0.138,0.102,0.033,0.164,-0.056,-0.123,-0.053,-0.147,0.062,-0.22,0.011,-0.213,0.012,0.027,-0.132,-0.073,-0.039,-0.034,0.132,0.092
150,1.749,1.743,-1.12,-0.268,-0.215,1.274,-0.117,0.713,-0.031,0.515,0.4,0.836,0.369,-0.071,0.767,0.064,0.072,-0.07,0.088,0.065,-0.095,-0.074,-0.125,-0.252,0.589,-0.459,0.034,0.033,0.484,-0.045,0.451,-0.138,0.005,-0.049,-0.118,0.204,-0.082,-0.151,-0.071,-0.216,-0.117,-0.242,0.435,0.167,0.08,-0.021,-0.441,0.138,-0.031,0.142,-0.067,0.299,0.134,0.429,0.041,-0.128,-0.102,-0.03,0.096,-0.278,-0.07,-0.166,-0.036,0.051,0.013,-0.064,-0.059,0.045,0.218,0.132
200,1.466,1.935,-1.011,-0.248,-0.212,1.229,-0.29,0.459,-0.031,0.497,0.431,0.719,0.352,-0.259,0.594,0.056,-0.007,-0.193,0.058,0.112,-0.103,0.059,-0.131,-0.151,0.412,-0.296,0.006,0.076,0.315,-0.02,0.333,-0.138,0.132,0.008,0.023,0.043,0.084,-0.118,0.032,-0.065,-0.006,-0.223,0.319,0.14,0.112,-0.003,-0.273,-0.124,0.256,-0.061,-0.145,0.013,-0.113,-0.037,0.111,0.001,-0.059,-0.14,-0.059,0.051,-0.017,-0.075,0.12,-0.047,0.003,-0.055,-0.078,-0.039,0.068,0.151
250,1.365,1.863,-0.983,-0.063,-0.349,1.432,-0.399,0.432,-0.062,0.34,0.501,0.856,0.438,-0.327,0.541,-0.115,-0.14,-0.099,0.076,-0.161,-0.147,-0.056,-0.025,-0.115,0.361,-0.189,-0.061,0.294,0.463,-0.124,0.266,-0.32,0.086,-0.031,0.038,0.063,-0.188,-0.1,-0.136,0.029,0.103,-0.079,0.256,0.15,-0.005,-0.111,-0.302,-0.331,0.143,-0.086,-0.225,-0.031,-0.158,-0.132,0.096,0.061,0.012,-0.17,0.002,-0.03,0.06,-0.027,0.065,-0.24,0.037,0.021,-0.236,-0.019,0.039,0.121
300,1.645,1.857,-0.706,-0.025,0.007,1.213,-0.728,0.649,-0.126,0.616,0.223,0.96,0.072,-0.322,0.894,0.358,0.08,-0.171,-0.178,0.39,0.135,0.411,-0.238,-0.089,0.46,-0.304,0.307,-0.125,0.15,0.078,0.442,-0.463,-0.229,-0.267,0.123,0.062,0.253,0.338,-0.137,0.096,0.035,-0.144,0.173,0.285,-0.056,-0.168,-0.246,-0.084,0.232,-0.108,-0.061,-0.086,-0.149,-0.06,-0.135,0.015,0.021,-0.117,0.041,0.043,0.079,-0.085,0.08,-0.068,-0.101,-0.051,-0.078,-0.023,-0.055,0.044
350,1.61,1.503,-0.711,-0.124,0.075,1.135,-0.164,0.496,-0.157,0.737,0.242,1.072,0.114,0.119,0.778,0.355,0.228,-0.374,-0.104,0.457,0.152,0.154,-0.421,-0.115,0.565,-0.489,0.043,-0.231,0.215,0.104,0.477,-0.087,0.036,-0.25,0.008,0.097,0.318,0.408,-0.093,-0.22,-0.143,-0.423,0.235,0.293,0.108,0.0,-0.303,0.286,0.233,-0.177,0.099,-0.106,-0.001,0.306,-0.115,-0.124,-0.053,0.016,0.062,-0.02,-0.09,-0.094,-0.008,0.108,-0.002,-0.019,0.068,-0.038,0.102,0.021
400,1.561,2.003,-0.866,-0.156,-0.142,1.561,-0.619,0.703,0.072,0.723,0.314,0.781,0.257,-0.426,0.957,0.278,0.062,-0.045,0.021,0.033,-0.071,0.182,-0.049,-0.167,0.503,-0.316,0.205,-0.057,0.349,-0.147,0.434,-0.542,-0.197,0.011,0.156,0.208,-0.033,0.051,-0.084,0.059,0.128,-0.241,0.255,0.223,-0.01,-0.046,-0.453,-0.28,0.0,-0.091,-0.256,0.008,-0.13,-0.06,0.169,0.12,-0.042,-0.135,-0.089,0.074,-0.106,-0.113,-0.004,-0.135,0.025,0.013,-0.11,-0.027,0.072,0.085
450,1.285,1.59,-1.102,-0.062,-0.108,1.084,-0.723,0.498,-0.051,0.386,0.366,0.628,0.145,-0.434,0.565,0.027,0.053,-0.021,0.015,-0.053,0.108,0.159,0.097,-0.003,0.236,-0.106,0.085,0.379,0.376,0.043,0.203,-0.241,0.096,-0.03,-0.009,0.003,0.085,-0.318,-0.029,0.158,0.196,-0.022,0.287,0.186,-0.001,-0.088,-0.136,-0.399,0.17,0.023,-0.342,0.123,-0.123,-0.245,-0.001,-0.032,0.078,-0.156,-0.123,-0.012,0.186,-0.077,0.106,-0.188,-0.171,-0.097,-0.197,-0.004,-0.084,0.156
