timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.441,1.742,-0.923,-0.091,-0.287,1.173,-0.317,0.363,0.001,0.358,0.448,0.629,0.249,-0.36,0.459,-0.213,-0.239,-0.075,-0.022,-0.093,-0.084,0.071,-0.011,-0.136,0.321,-0.114,0.014,0.193,0.242,-0.059,0.401,-0.229,0.006,-0.086,0.007,-0.025,-0.157,-0.017,-0.111,-0.103,0.09,-0.202,0.286,0.235,-0.071,-0.175,-0.347,-0.344,0.125,-0.023,-0.387,0.122,-0.121,-0.16,0.245,0.127,0.119,-0.162,-0.216,0.053,0.053,-0.054,0.012,-0.207,-0.048,0.01,-0.273,0.054,-0.077,0.138
50,1.66,1.841,-1.105,-0.308,-0.321,1.498,-0.312,0.236,0.014,0.526,0.423,0.91,0.334,-0.107,0.657,-0.149,0.03,0.022,0.254,-0.025,-0.078,-0.105,0.032,-0.237,0.304,-0.109,-0.238,0.32,0.453,-0.11,0.433,-0.215,0.137,0.222,-0.254,0.142,0.087,-0.314,-0.082,0.065,-0.005,-0.301,0.31,0.098,0.052,0.061,-0.46,-0.039,0.199,-0.177,-0.263,0.196,0.077,0.1,0.347,0.095,0.005,-0.105,-0.134,-0.047,-0.114,-0.171,-0.081,-0.007,0.13,0.011,-0.081,0.044,0.106,0.162
100,1.003,1.291,-1.111,0.07,-0.114,0.936,-0.559,0.216,0.042,0.355,0.293,0.434,0.101,-0.222,0.426,-0.059,-0.01,-0.027,0.053,0.076,0.265,0.145,0.036,-0.139,-0.02,0.064,-0.09,0.339,0.254,-0.067,0.163,0.046,0.088,0.284,-0.075,-0.051,0.096,-0.207,0.102,0.086,0.335,0.055,0.277,0.271,-0.153,-0.044,-0.001,0.035,0.037,0.234,-0.113,0.248,0.156,0.067,-0.144,-0.108,0.073,-0.147,0.004,-0.301,0.173,-0.167,-0.044,-0.013,-0.302,-0.099,-0.031,-0.011,0.031,0.133
150,1.398,1.507,-0.993,-0.031,-0.154,1.195,-0.367,0.351,-0.007,0.433,0.269,0.872,0.156,-0.236,0.532,-0.023,0.07,-0.028,0.057,0.046,0.057,0.128,-0.102,-0.133,0.4,-0.166,0.029,0.225,0.419,-0.163,0.326,-0.118,-0.118,0.137,-0.007,0.118,-0.056,-0.051,-0.128,-0.204,0.023,-0.274,0.295,0.156,-0.19,-0.003,-0.085,0.155,-0.079,0.143,-0.094,0.205,0.099,0.169,-0.047,-0.109,0.032,-0.089,0.022,-0.224,0.063,-0.148,-0.023,-0.013,-0.224,-0.093,-0.091,0.006,0.066,0.109
200,1.331,2.43,-0.934,-0.032,-0.424,1.707,-0.539,0.673,0.086,0.637,0.538,0.853,0.51,-0.532,0.88,-0.11,-0.127,-0.068,0.04,-0.044,-0.253,-0.042,-0.163,-0.144,0.728,-0.232,-0.018,0.206,0.424,-0.181,0.664,-0.546,-0.23,-0.216,0.231,-0.001,-0.507,-0.1,-0.311,-0.078,-0.036,-0.503,0.244,0.061,0.009,-0.205,-0.466,-0.35,0.134,-0.351,-0.473,-0.117,-0.3,-0.375,0.466,0.338,0.148,-0.171,-0.235,0.36,-0.119,0.067,-0.091,-0.311,0.172,0.101,-0.237,0.064,-0.1,0.074
250,1.531,1.518,-0.958,-0.08,-0.025,1.265,-0.562,0.302,-0.031,0.577,0.338,0.95,0.11,-0.192,0.68,0.283,0.102,-0.11,0.075,0.203,0.154,0.352,-0.174,-0.153,0.272,-0.108,0.122,0.235,0.314,-0.048,0.407,-0.027,0.002,0.102,-0.049,0.067,0.154,0.089,-0.003,-0.087,0.135,-0.242,0.313,0.118,-0.063,-0.075,-0.109,0.049,0.132,0.081,-0.14,0.158,0.048,0.097,-0.134,-0.111,0.012,-0.142,0.081,-0.156,0.017,-0.135,0.067,-0.049,-0.102,-0.062,-0.068,0.017,0.075,0.09
300,1.565,1.677,-0.89,0.007,-0.311,1.473,-0.408,0.405,0.078,0.424,0.427,0.886,0.472,-0.512,0.615,0.006,-0.082,0.025,0.132,-0.202,-0.089,0.007,0.002,0.013,0.465,-0.207,0.067,0.05,0.523,-0.265,0.457,-0.523,-0.114,-0.018,0.142,0.135,-0.263,0.078,-0.167,-0.134,0.181,-0.236,0.24,0.044,-0.191,-0.141,-0.295,-0.158,0.134,-0.062,-0.288,-0.011,-0.049,-0.157,0.16,0.125,0.053,-0.173,-0.163,0.019,0.058,-0.054,-0.056,-0.181,-0.068,0.044,-0.175,0.025,-0.018,0.121
350,1.511,1.529,-0.943,0.026,-0.007,1.107,-0.706,0.281,-0.028,0.609,0.337,0.811,0.009,-0.285,0.607,0.154,0.034,-0.129,0.046,0.371,0.322,0.335,-0.059,-0.216,0.109,-0.125,-0.008,0.279,0.198,-0.073,0.244,-0.108,-0.121,-0.061,0.021,0.076,0.324,0.146,0.063,0.242,0.425,-0.007,0.235,0.423,-0.023,-0.084,-0.103,0.146,0.118,0.037,0.1,0.05,0.153,0.39,-0.255,-0.143,-0.144,-0.041,0.138,-0.331,0.023,-0.129,-0.043,0.095,-0.149,-0.117,-0.053,-0.035,0.05,0.018
400,1.707,1.754,-0.856,-0.27,-0.114,1.352,-0.279,0.228,-0.026,0.735,0.386,1.136,0.125,0.04,0.572,0.216,0.068,-0.116,-0.022,0.179,0.03,0.224,-0.175,-0.201,0.282,-0.181,0.099,-0.031,0.14,0.004,0.572,0.111,0.065,0.287,-0.169,0.166,0.455,0.131,0.046,-0.246,-0.139,-0.334,0.499,0.254,-0.07,0.08,-0.157,0.32,0.145,0.099,-0.05,0.204,0.121,0.375,-0.008,-0.109,-0.037,-0.154,0.082,-0.198,-0.048,-0.109,-0.051,0.095,-0.037,-0.096,0.043,0.018,0.11,0.045
450,1.427,1.417,-0.762,-0.271,0.238,1.019,-0.498,0.53,-0.248,0.742,0.103,1.108,-0.043,-0.036,0.79,0.616,0.3,-0.342,-0.201,0.447,0.207,0.221,-0.352,0.035,0.486,-0.309,0.2,-0.094,0.203,0.193,0.437,-0.314,-0.102,-0.231,0.181,0.039,0.437,0.391,0.084,-0.102,0.038,-0.305,0.167,0.263,0.005,0.013,-0.194,0.049,0.15,-0.098,0.018,-0.112,-0.052,0.126,-0.116,-0.086,-0.038,-0.06,0.035,-0.03,-0.036,-0.072,0.034,0.006,-0.123,-0.04,0.004,0.006,0.004,0.01
