timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.45,1.38,-0.933,-0.126,-0.222,1.075,-0.638,0.17,0.026,0.264,0.161,0.82,0.151,-0.371,0.453,-0.008,-0.022,-0.013,0.139,0.081,0.109,0.23,0.146,-0.124,0.127,-0.031,0.06,0.377,0.355,-0.069,0.204,-0.274,-0.057,0.112,0.095,0.03,0.025,-0.137,-0.098,0.179,0.222,-0.123,0.166,0.184,-0.1,-0.061,-0.008,-0.172,0.131,-0.041,-0.245,0.098,-0.052,-0.049,-0.035,-0.097,0.015,-0.141,-0.036,-0.104,0.131,-0.083,0.037,-0.1,-0.202,-0.001,-0.14,-0.016,-0.013,0.159
50,1.85,1.633,-0.945,-0.452,0.001,1.368,-0.114,0.538,-0.246,0.682,0.356,1.249,0.108,0.034,0.681,0.172,0.078,-0.187,-0.185,0.196,-0.121,0.012,-0.319,0.048,0.684,-0.432,0.097,-0.24,0.406,-0.013,0.667,-0.381,0.021,-0.021,-0.005,0.122,-0.016,0.399,-0.071,-0.254,-0.244,-0.584,0.128,0.095,0.117,0.03,-0.435,0.051,0.055,-0.163,-0.215,0.057,-0.135,0.159,0.117,-0.083,0.013,-0.061,0.02,0.111,-0.151,-0.038,0.045,-0.057,0.178,0.077,-0.055,-0.018,0.211,0.092
100,1.453,1.679,-0.929,-0.141,-0.185,1.165,-0.536,0.329,-0.151,0.365,0.238,0.646,0.189,-0.447,0.53,0.083,0.007,-0.015,-0.001,0.092,0.052,0.059,-0.084,-0.01,0.319,-0.105,-0.047,0.197,0.349,-0.134,0.366,-0.449,-0.201,0.049,0.004,0.107,-0.151,0.066,-0.071,0.197,0.259,-0.207,0.009,0.146,-0.037,-0.051,-0.366,0.079,-0.041,-0.14,-0.043,0.095,0.041,0.063,-0.106,-0.082,-0.039,-0.002,0.018,-0.109,0.025,-0.012,0.056,-0.054,-0.14,-0.148,-0.15,-0.021,-0.01,0.04
150,1.504,1.753,-1.116,-0.17,-0.209,1.231,-0.544,0.271,0.042,0.329,0.24,0.591,0.18,-0.374,0.608,0.153,0.05,0.051,0.087,-0.107,-0.077,0.225,0.167,-0.053,0.124,-0.016,0.046,0.199,0.376,-0.133,0.333,-0.289,0.102,0.386,0.028,0.116,0.029,-0.091,-0.061,0.085,0.176,-0.117,0.178,0.14,-0.207,-0.005,-0.061,-0.141,0.111,0.031,-0.153,0.111,-0.004,-0.052,-0.026,0.016,0.126,-0.146,-0.123,-0.114,0.117,-0.017,0.018,-0.089,-0.21,-0.069,-0.162,0.035,-0.009,0.078
200,1.643,1.968,-0.83,-0.309,-0.123,1.358,-0.417,0.335,-0.109,0.58,0.273,1.139,0.226,-0.204,0.817,0.205,0.042,-0.201,-0.041,0.069,-0.06,0.103,-0.161,0.093,0.429,-0.369,0.025,-0.045,0.446,-0.025,0.479,-0.664,0.003,-0.121,0.176,0.105,0.012,0.459,-0.07,-0.063,0.009,-0.384,0.061,0.08,-0.303,-0.031,-0.371,-0.132,0.26,-0.252,-0.174,-0.116,-0.129,-0.009,0.072,0.0,0.031,-0.073,-0.035,0.095,-0.124,0.043,0.046,-0.102,0.064,-0.024,-0.202,0.018,-0.013,0.067
250,1.329,1.533,-1.003,-0.216,-0.135,1.044,-0.63,0.281,-0.021,0.58,0.153,0.728,0.006,-0.12,0.588,0.22,0.113,-0.117,-0.045,0.218,0.244,0.257,-0.192,-0.207,0.109,0.012,-0.054,0.331,0.152,0.017,0.35,-0.094,-0.128,0.08,0.034,0.084,0.072,-0.142,-0.016,0.052,0.199,-0.24,0.29,0.212,-0.054,-0.056,0.021,0.111,0.085,0.09,-0.131,0.182,0.061,0.091,-0.065,-0.279,0.02,-0.067,0.063,-0.215,0.122,-0.114,0.092,-0.005,-0.166,-0.091,-0.117,0.025,0.038,0.099
300,1.39,1.703,-0.836,-0.043,-0.335,1.211,-0.659,0.428,0.037,0.281,0.218,0.622,0.396,-0.676,0.682,-0.005,-0.165,0.094,0.045,-0.159,-0.131,0.181,0.16,-0.131,0.437,-0.182,0.163,0.218,0.392,-0.064,0.259,-0.645,-0.118,-0.151,0.271,-0.004,-0.387,0.241,-0.228,0.034,0.202,-0.179,0.064,0.2,-0.133,-0.165,-0.159,-0.434,0.18,-0.177,-0.375,-0.092,-0.237,-0.271,0.056,0.093,0.091,-0.13,-0.092,0.151,0.058,0.026,0.088,-0.206,-0.1,0.024,-0.317,0.023,-0.122,0.074
350,1.447,1.394,-0.823,-0.141,0.133,0.882,-0.68,0.295,-0.195,0.509,0.093,1.106,-0.085,-0.185,0.564,0.359,0.107,-0.187,-0.113,0.446,0.341,0.422,-0.147,0.008,0.1,-0.077,0.102,0.198,0.022,0.183,0.221,-0.271,-0.011,0.014,0.18,-0.118,0.322,0.357,0.027,0.161,0.327,-0.062,0.172,0.34,-0.328,-0.012,0.074,-0.267,0.234,-0.157,-0.111,-0.001,-0.073,-0.04,-0.151,-0.194,-0.083,-0.106,0.019,-0.097,0.172,-0.04,0.168,-0.068,-0.329,-0.141,0.009,-0.036,-0.078,0.071
400,1.45,1.714,-0.898,-0.148,-0.172,1.275,-0.733,0.46,-0.006,0.547,0.2,0.878,0.178,-0.526,0.795,0.13,0.003,-0.055,-0.052,-0.019,0.001,0.241,-0.034,-0.055,0.435,-0.193,0.134,0.226,0.312,0.056,0.383,-0.653,-0.175,0.053,0.242,0.111,-0.067,0.257,-0.208,0.025,0.108,-0.276,0.105,0.112,-0.218,-0.113,-0.172,-0.234,0.243,-0.208,-0.259,-0.17,-0.212,-0.168,0.005,0.004,0.063,-0.145,-0.046,0.153,0.043,0.037,0.091,-0.169,-0.085,0.018,-0.152,-0.028,-0.071,0.029
450,1.369,1.38,-1.085,-0.176,-0.102,0.957,-0.657,0.373,-0.236,0.279,0.141,0.828,0.14,-0.58,0.485,-0.089,0.022,0.007,-0.033,0.042,-0.0,0.013,-0.003,-0.041,0.399,-0.067,0.105,0.254,0.481,-0.082,0.26,-0.492,-0.253,-0.056,0.095,0.094,-0.238,-0.032,-0.106,0.15,0.186,-0.192,-0.039,0.123,-0.078,-0.154,-0.071,-0.225,0.001,-0.036,-0.362,0.161,-0.08,-0.183,0.092,-0.035,0.068,-0.108,-0.029,-0.069,0.078,-0.064,0.038,-0.189,-0.208,0.002,-0.235,0.017,-0.01,0.147
