timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.722,1.485,-0.957,0.033,-0.13,1.482,-0.433,0.491,0.004,0.549,0.317,0.95,0.241,-0.371,0.73,0.011,0.104,-0.096,-0.032,-0.018,0.076,0.137,-0.048,-0.215,0.408,-0.145,0.166,0.159,0.384,-0.075,0.344,-0.354,-0.016,0.001,0.019,0.135,0.048,0.046,-0.008,0.039,0.254,-0.024,0.281,0.263,-0.225,-0.161,-0.068,0.016,0.073,0.126,-0.12,0.004,-0.034,-0.049,-0.149,-0.034,0.034,-0.216,-0.019,-0.153,0.116,-0.169,0.035,-0.096,-0.157,-0.032,-0.192,-0.02,0.041,0.181
50,1.549,1.455,-1.062,-0.074,-0.113,1.37,-0.346,0.299,0.071,0.464,0.321,0.801,0.284,-0.244,0.503,-0.109,-0.054,-0.003,0.262,-0.075,0.041,0.01,-0.008,-0.193,0.354,-0.173,-0.159,0.261,0.498,-0.162,0.384,-0.023,0.078,0.151,-0.126,0.116,-0.017,-0.153,0.007,-0.01,0.074,-0.177,0.33,0.232,-0.15,-0.076,-0.253,0.024,0.173,-0.005,-0.2,0.084,0.029,-0.085,0.037,-0.019,0.06,-0.184,-0.092,-0.063,0.028,-0.124,-0.007,-0.096,-0.128,-0.043,-0.115,0.011,0.007,0.167
100,1.577,1.573,-0.833,-0.096,-0.237,1.255,-0.339,0.241,-0.007,0.538,0.438,0.741,0.14,-0.119,0.545,0.197,-0.033,-0.132,-0.082,0.069,-0.023,0.247,-0.106,-0.282,0.223,-0.095,0.07,0.095,0.294,-0.024,0.235,0.105,-0.058,0.072,-0.063,0.003,0.239,0.058,-0.104,-0.11,0.031,-0.276,0.308,0.377,-0.01,-0.059,-0.155,-0.043,0.17,0.046,-0.191,0.107,-0.025,0.088,0.002,-0.091,0.057,-0.181,0.059,-0.093,0.095,-0.108,0.079,-0.01,-0.107,-0.056,-0.049,0.042,0.0,0.061
150,1.234,1.373,-0.802,0.154,-0.046,0.77,-0.753,0.354,-0.121,0.363,0.195,0.789,-0.052,-0.37,0.466,0.309,0.148,-0.11,-0.24,0.184,0.204,0.392,0.049,-0.006,0.092,0.039,0.328,0.197,0.134,0.111,0.176,-0.178,-0.141,0.011,0.156,-0.006,0.213,0.073,-0.027,0.118,0.37,0.061,0.17,0.432,-0.232,-0.051,0.117,-0.308,0.081,0.071,-0.224,-0.061,-0.105,-0.137,-0.154,-0.07,0.04,-0.169,0.002,-0.182,0.235,-0.156,0.037,-0.058,-0.398,-0.063,-0.169,-0.02,-0.058,0.15
200,1.563,1.578,-0.858,-0.124,-0.133,1.205,-0.751,0.481,-0.093,0.394,0.241,1.053,0.132,-0.429,0.647,0.18,0.06,-0.081,0.025,0.147,0.154,0.272,0.085,-0.082,0.227,-0.071,0.156,0.364,0.289,0.024,0.242,-0.477,-0.01,0.05,0.108,0.032,0.111,-0.077,-0.021,0.26,0.335,0.013,0.181,0.349,-0.147,-0.058,-0.103,-0.349,0.122,0.007,-0.282,0.005,-0.147,-0.047,-0.114,-0.044,0.028,-0.132,-0.014,-0.008,0.144,-0.122,0.074,-0.109,-0.209,-0.059,-0.144,-0.03,-0.063,0.092
250,1.371,1.489,-1.161,0.014,-0.156,1.102,-0.549,0.258,0.049,0.351,0.372,0.667,0.161,-0.354,0.312,-0.019,-0.098,0.02,0.065,-0.039,0.147,0.198,0.137,-0.193,0.021,-0.0,0.07,0.367,0.311,-0.119,0.161,-0.048,0.145,0.246,-0.155,0.071,0.063,-0.194,-0.01,0.1,0.411,0.05,0.345,0.309,-0.101,0.002,-0.007,-0.099,0.094,0.08,-0.175,0.244,0.112,0.029,-0.1,-0.137,0.059,-0.167,0.004,-0.232,0.178,-0.135,0.092,-0.094,-0.311,-0.175,-0.087,-0.016,-0.034,0.076
300,1.66,1.554,-0.794,-0.142,-0.081,1.071,-0.261,0.25,-0.246,0.68,0.448,0.843,0.036,0.074,0.385,0.261,0.171,-0.087,0.01,0.225,0.177,0.074,-0.16,-0.286,0.308,-0.119,0.059,0.085,0.336,-0.133,0.397,0.207,-0.075,0.331,-0.275,0.138,0.167,-0.216,-0.038,-0.08,0.077,-0.191,0.341,0.258,0.012,0.095,-0.194,0.183,-0.087,0.137,-0.122,0.247,0.129,0.225,0.053,-0.112,-0.013,-0.146,0.038,-0.211,-0.007,-0.203,-0.054,0.024,-0.128,-0.114,0.042,-0.03,0.115,0.114
350,1.446,1.401,-0.818,-0.091,-0.168,1.208,-0.295,0.232,0.025,0.406,0.357,0.697,0.231,-0.182,0.439,-0.043,-0.018,-0.067,0.125,-0.034,0.062,0.1,0.026,-0.115,0.221,-0.127,-0.104,0.194,0.351,-0.056,0.254,-0.191,0.107,0.155,-0.025,0.035,0.027,-0.031,0.016,-0.03,0.178,-0.163,0.367,0.226,-0.159,-0.02,-0.154,0.068,0.115,0.078,-0.086,0.203,0.101,0.156,-0.031,-0.227,-0.053,-0.128,0.022,-0.212,0.069,-0.096,0.077,-0.096,-0.166,-0.067,-0.127,0.04,0.042,0.116
400,1.523,1.608,-0.895,-0.055,-0.087,1.156,-0.453,0.42,0.003,0.57,0.356,0.519,0.111,-0.012,0.664,0.311,0.14,-0.113,0.085,0.01,0.222,0.282,-0.004,-0.195,0.086,-0.051,0.072,0.184,0.248,-0.097,0.217,0.087,0.127,0.291,-0.009,0.153,0.248,-0.135,0.179,0.124,0.253,-0.017,0.341,0.317,-0.202,0.034,0.053,0.266,-0.102,0.327,-0.069,0.183,0.202,0.176,-0.33,-0.131,0.059,-0.213,0.064,-0.39,0.094,-0.239,0.049,0.041,-0.294,-0.117,-0.118,-0.035,0.088,0.153
450,1.633,1.592,-0.881,-0.202,-0.21,1.356,-0.362,0.33,0.007,0.537,0.353,0.962,0.261,-0.286,0.543,0.126,-0.043,0.023,0.025,0.019,-0.068,0.133,0.035,-0.269,0.369,-0.183,-0.021,0.199,0.545,-0.012,0.402,0.014,0.026,0.223,-0.211,0.049,0.069,0.018,-0.132,-0.248,-0.129,-0.32,0.318,0.163,-0.159,-0.018,-0.132,0.014,0.17,-0.03,-0.091,-0.036,-0.078,-0.055,-0.014,0.098,0.105,-0.208,-0.093,0.039,-0.0,-0.075,0.051,-0.111,-0.069,-0.026,-0.083,-0.011,0.023,0.069
