timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.831,1.775,-0.825,-0.111,-0.296,1.475,-0.396,0.571,-0.06,0.514,0.444,0.943,0.257,-0.396,0.6,-0.119,-0.164,-0.029,0.045,-0.129,-0.241,-0.089,-0.046,-0.122,0.614,-0.215,0.119,0.165,0.632,-0.198,0.492,-0.243,-0.152,0.059,-0.084,0.257,-0.274,-0.254,-0.252,0.012,-0.12,-0.366,0.28,0.105,0.028,0.024,-0.374,-0.329,0.033,-0.187,-0.347,0.083,-0.18,-0.206,0.385,0.305,0.077,-0.174,-0.175,0.178,-0.127,-0.045,-0.111,-0.239,0.109,0.042,-0.135,0.018,-0.018,0.097
50,1.724,2.175,-0.873,-0.12,-0.145,1.536,-0.358,0.805,-0.019,0.631,0.428,1.057,0.402,-0.424,0.793,0.082,-0.123,-0.086,-0.119,-0.053,-0.383,-0.084,-0.215,-0.097,0.925,-0.456,0.272,-0.222,0.468,-0.151,0.661,-0.631,-0.161,-0.229,0.114,0.168,-0.19,0.41,-0.256,-0.266,-0.117,-0.598,0.215,0.223,0.247,-0.041,-0.618,-0.237,0.368,-0.418,-0.143,-0.258,-0.245,-0.082,0.309,0.293,-0.075,-0.076,-0.18,0.342,-0.16,0.061,-0.068,-0.183,0.289,0.101,-0.116,0.031,-0.06,0.021
100,1.664,2.078,-1.126,-0.024,-0.448,1.634,-0.488,0.364,0.093,0.368,0.55,0.671,0.54,-0.718,0.606,-0.322,-0.276,0.026,0.153,-0.281,-0.098,-0.012,0.05,-0.126,0.405,-0.107,-0.151,0.374,0.468,-0.274,0.329,-0.398,-0.111,-0.242,0.241,0.045,-0.508,-0.115,-0.085,0.194,0.297,-0.19,0.044,0.173,-0.186,-0.307,-0.375,-0.5,0.162,-0.203,-0.589,0.087,-0.183,-0.31,0.307,0.12,0.091,-0.211,-0.23,0.046,0.125,-0.115,-0.054,-0.329,-0.246,0.094,-0.216,0.006,-0.053,0.318
150,1.088,1.547,-1.012,-0.054,0.031,0.995,-0.606,0.468,-0.09,0.388,0.242,0.714,0.031,-0.362,0.659,0.26,0.092,-0.129,-0.131,0.115,0.201,0.126,-0.031,0.045,0.263,-0.195,0.146,0.151,0.183,0.182,0.301,-0.308,0.088,-0.084,0.247,-0.01,0.098,0.112,-0.007,-0.008,0.283,-0.084,0.212,0.095,-0.173,-0.064,0.004,-0.313,0.086,0.06,-0.265,0.049,-0.113,-0.019,-0.011,-0.007,-0.015,-0.109,0.016,-0.15,0.054,-0.103,0.013,-0.101,-0.244,-0.077,-0.18,-0.01,0.008,0.082
200,1.576,1.858,-0.982,-0.061,-0.271,1.377,-0.431,0.322,0.038,0.423,0.482,0.793,0.262,-0.286,0.565,-0.051,-0.098,-0.089,0.046,-0.086,-0.04,0.091,-0.254,-0.091,0.291,-0.075,-0.091,0.262,0.274,-0.091,0.334,-0.273,-0.022,0.082,0.011,-0.026,-0.042,-0.005,-0.123,0.044,0.101,-0.187,0.179,0.151,-0.142,-0.037,-0.406,-0.15,0.214,-0.318,-0.129,0.043,-0.026,-0.056,0.224,0.054,-0.029,-0.095,-0.184,0.012,0.008,-0.015,-0.106,-0.156,0.051,0.051,-0.163,0.025,-0.052,0.141
250,1.651,1.427,-0.829,-0.191,-0.021,1.125,-0.494,0.355,-0.157,0.506,0.225,1.116,0.104,-0.165,0.654,0.23,0.163,-0.151,-0.036,0.22,0.066,0.167,-0.182,-0.032,0.401,-0.217,0.126,0.116,0.197,-0.007,0.491,-0.353,0.018,-0.059,0.054,-0.031,0.165,0.164,-0.018,-0.078,-0.009,-0.183,0.27,0.177,-0.023,-0.082,-0.204,-0.064,0.211,-0.058,-0.106,0.006,-0.08,0.006,-0.045,-0.059,0.083,-0.123,-0.081,0.06,0.119,-0.061,0.024,-0.055,-0.197,-0.043,-0.108,-0.005,-0.065,0.04
300,1.423,1.236,-0.983,-0.111,0.082,1.148,-0.617,0.269,-0.151,0.718,0.286,1.233,0.034,-0.013,0.509,0.416,0.146,-0.138,0.087,0.389,0.225,0.142,-0.227,-0.226,0.329,-0.229,-0.009,0.293,0.443,-0.001,0.443,-0.058,-0.098,0.143,-0.149,0.061,0.146,0.052,-0.026,-0.081,-0.023,-0.274,0.327,0.19,-0.059,0.041,-0.11,0.227,0.11,-0.062,0.057,0.067,0.157,0.12,-0.133,-0.145,0.008,-0.126,0.026,-0.128,0.009,-0.168,-0.054,-0.01,-0.096,-0.05,-0.003,0.056,0.047,0.057
350,1.526,1.498,-0.878,-0.07,-0.279,1.24,-0.199,0.039,0.059,0.376,0.347,0.83,0.268,-0.115,0.414,-0.12,-0.016,-0.02,0.172,0.042,-0.109,0.035,0.129,-0.177,0.153,-0.097,-0.089,0.253,0.419,-0.057,0.309,0.081,0.154,0.255,-0.096,0.038,0.11,-0.094,-0.063,-0.124,-0.1,-0.233,0.337,0.154,-0.033,-0.051,-0.129,0.061,0.102,0.138,-0.146,0.266,0.059,0.205,-0.061,-0.045,0.101,-0.18,-0.015,-0.171,0.08,-0.079,0.033,-0.089,-0.104,0.005,-0.09,0.053,0.026,0.11
400,1.472,1.373,-0.936,-0.122,-0.103,1.062,-0.475,0.202,-0.135,0.505,0.161,0.818,0.164,-0.138,0.662,0.143,0.08,-0.092,0.18,0.197,0.208,0.307,-0.058,-0.091,0.133,-0.011,-0.002,0.334,0.259,0.052,0.179,-0.29,-0.007,0.166,-0.024,0.096,0.241,-0.042,0.053,0.248,0.301,0.004,0.275,0.274,-0.048,0.018,-0.124,0.004,0.138,-0.046,0.044,0.217,0.128,0.201,-0.133,-0.152,-0.1,-0.107,0.026,-0.24,0.095,-0.165,-0.026,0.025,-0.234,-0.061,-0.028,-0.015,0.003,0.134
450,1.415,1.909,-0.782,-0.157,-0.173,1.089,-0.644,0.487,-0.063,0.5,0.248,0.657,0.083,-0.292,0.71,0.32,0.142,-0.151,-0.037,0.125,0.016,0.382,-0.073,-0.124,0.358,-0.055,0.205,0.083,0.11,0.054,0.378,-0.42,-0.045,-0.116,0.041,0.051,0.165,0.05,-0.036,0.107,0.202,-0.156,0.228,0.366,0.073,-0.057,-0.354,-0.285,0.183,-0.154,-0.206,0.078,-0.126,-0.135,0.068,-0.039,-0.03,-0.156,-0.101,-0.014,0.127,-0.105,0.103,-0.097,-0.225,-0.105,-0.052,-0.039,-0.086,0.1
