timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.646,1.618,-0.816,-0.233,-0.189,1.271,-0.274,0.39,-0.2,0.502,0.396,1.038,0.202,-0.183,0.649,0.12,0.074,-0.208,-0.105,0.088,-0.16,0.033,-0.105,0.014,0.49,-0.317,0.148,0.106,0.449,-0.008,0.33,-0.376,0.131,-0.105,0.024,0.155,0.062,0.169,-0.032,-0.091,-0.136,-0.286,0.143,0.204,0.066,0.07,-0.442,-0.054,0.073,-0.182,-0.253,0.087,-0.091,0.108,0.165,0.049,0.029,-0.106,-0.103,0.032,-0.124,-0.052,-0.073,-0.052,0.048,-0.018,-0.112,-0.015,0.116,0.127
50,1.605,1.386,-1.009,-0.113,-0.003,1.059,-0.359,0.164,-0.065,0.516,0.406,0.826,0.075,0.016,0.428,0.158,0.151,-0.016,0.081,0.303,0.237,0.218,-0.032,-0.208,0.077,0.054,-0.065,0.438,0.301,-0.027,0.169,0.273,0.099,0.294,-0.273,0.071,0.245,-0.534,0.07,0.152,0.226,-0.0,0.435,0.38,-0.049,0.053,0.082,0.171,-0.014,0.287,0.028,0.224,0.157,0.076,-0.201,-0.222,-0.004,-0.243,0.022,-0.225,0.112,-0.198,0.059,0.04,-0.236,-0.213,-0.013,-0.01,0.055,0.135
100,1.882,1.635,-0.847,-0.291,-0.045,1.208,-0.372,0.475,-0.204,0.791,0.336,1.117,0.031,0.026,0.697,0.255,0.146,-0.206,-0.105,0.319,0.028,0.163,-0.12,-0.193,0.474,-0.329,-0.046,0.018,0.343,0.061,0.49,0.046,0.023,0.076,-0.221,0.09,0.427,0.091,-0.044,-0.109,-0.137,-0.389,0.393,0.417,0.033,0.017,-0.267,0.146,0.293,0.052,-0.141,0.071,-0.061,0.164,-0.076,-0.23,0.046,-0.069,0.069,-0.034,0.05,-0.089,0.145,-0.01,-0.059,-0.055,-0.039,-0.054,0.1,0.078
150,1.775,1.879,-0.841,-0.271,-0.039,1.13,-0.475,0.758,-0.144,0.558,0.253,0.737,0.097,-0.327,0.688,0.167,0.076,-0.051,-0.078,0.069,-0.07,0.146,-0.029,-0.099,0.582,-0.258,0.282,0.018,0.33,-0.027,0.508,-0.391,-0.158,0.021,0.024,0.124,-0.013,0.208,-0.144,0.043,0.019,-0.284,0.184,0.301,0.067,-0.002,-0.38,-0.083,0.065,-0.176,-0.166,-0.017,-0.095,-0.049,0.11,0.082,0.097,-0.128,-0.094,0.118,-0.003,-0.007,0.01,-0.06,0.031,0.007,-0.162,-0.016,0.005,0.082
200,1.51,1.806,-0.946,-0.092,-0.107,1.239,-0.527,0.625,-0.085,0.302,0.328,0.909,0.296,-0.486,0.636,0.116,-0.081,-0.096,-0.01,-0.046,-0.031,0.124,-0.086,0.148,0.467,-0.266,0.232,0.045,0.318,-0.061,0.221,-0.674,-0.101,-0.252,0.203,0.089,-0.132,0.089,-0.104,0.044,0.338,-0.084,0.113,0.265,-0.158,-0.165,-0.309,-0.416,0.174,-0.097,-0.321,-0.122,-0.228,-0.279,-0.013,0.111,0.094,-0.107,-0.151,0.034,0.107,-0.088,0.016,-0.194,-0.266,-0.085,-0.207,-0.038,-0.11,0.158
250,1.57,1.767,-0.89,0.022,-0.27,1.182,-0.389,0.303,-0.042,0.341,0.47,0.921,0.292,-0.211,0.534,-0.083,0.012,-0.197,-0.037,0.059,0.097,0.25,-0.144,-0.196,0.175,-0.134,0.052,0.428,0.319,0.063,0.109,-0.123,0.093,-0.168,0.124,-0.018,-0.007,-0.174,-0.017,0.169,0.226,0.008,0.26,0.308,0.02,-0.105,0.01,-0.392,0.074,0.21,-0.284,0.146,-0.143,-0.071,-0.145,-0.087,0.086,-0.192,0.081,-0.128,0.186,-0.169,0.201,-0.119,-0.199,-0.048,-0.257,0.024,0.005,0.125
300,2.016,1.729,-0.924,-0.276,-0.067,1.524,-0.168,0.49,-0.154,0.658,0.375,1.081,0.282,-0.145,0.784,0.185,-0.006,-0.237,-0.036,0.149,-0.021,0.057,-0.227,0.018,0.539,-0.379,-0.058,0.026,0.504,-0.129,0.424,-0.222,0.089,-0.187,0.046,0.067,0.11,0.199,-0.112,-0.027,-0.074,-0.357,0.312,0.225,-0.006,0.005,-0.433,0.059,0.229,-0.13,-0.02,0.012,-0.092,0.114,0.036,0.056,0.035,-0.036,0.012,0.025,-0.156,-0.019,0.006,-0.031,0.18,0.024,-0.093,0.034,0.19,0.06
350,1.429,1.651,-0.693,-0.182,-0.042,1.003,-0.797,0.424,-0.145,0.585,0.172,0.864,-0.097,-0.353,1.002,0.743,0.377,-0.115,-0.146,0.386,0.098,0.57,-0.042,-0.002,0.201,0.001,0.365,-0.02,-0.16,0.254,0.372,-0.43,0.031,-0.068,0.193,-0.061,0.577,0.331,0.06,0.162,0.287,-0.005,0.131,0.476,-0.026,-0.053,-0.188,-0.215,0.285,-0.141,-0.228,-0.112,-0.252,-0.135,-0.235,-0.138,0.001,-0.125,-0.04,0.05,0.161,-0.071,0.238,0.019,-0.288,-0.076,-0.081,-0.054,-0.083,0.111
400,1.264,1.956,-0.814,-0.265,-0.112,1.09,-0.808,0.809,-0.07,0.5,0.097,1.053,0.036,-0.392,0.926,0.43,0.185,-0.271,-0.279,0.351,0.105,0.252,-0.348,0.038,0.63,-0.3,0.319,-0.115,0.075,0.165,0.452,-0.672,-0.17,-0.266,0.275,-0.014,0.135,0.286,-0.105,-0.076,0.105,-0.24,0.171,0.268,0.014,-0.126,-0.118,-0.216,0.162,-0.022,-0.101,-0.168,-0.232,0.012,-0.161,-0.038,-0.043,-0.042,0.125,-0.015,0.032,-0.107,0.167,-0.064,-0.232,-0.089,-0.089,-0.022,-0.042,0.069
450,1.659,1.929,-0.761,-0.14,-0.158,1.298,-0.652,0.686,-0.065,0.633,0.36,0.942,0.06,-0.384,0.961,0.363,0.167,-0.121,-0.188,0.202,-0.048,0.35,-0.085,-0.12,0.436,-0.145,0.357,0.077,0.117,0.122,0.406,-0.377,-0.021,-0.074,-0.003,0.119,0.254,0.148,-0.0,0.114,0.191,-0.012,0.267,0.437,0.014,-0.055,-0.239,-0.081,0.2,-0.003,-0.128,-0.054,-0.094,-0.007,-0.168,-0.021,0.029,-0.083,0.016,-0.098,0.057,-0.157,0.028,-0.025,-0.136,-0.063,-0.21,-0.06,-0.031,0.09
