timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.25,1.701,-0.796,-0.147,-0.148,1.262,-0.751,0.496,0.031,0.507,0.096,0.767,0.166,-0.419,0.769,0.262,0.041,-0.014,0.155,0.012,-0.034,0.231,0.046,-0.08,0.382,-0.182,0.154,0.028,0.429,-0.048,0.289,-0.398,-0.014,0.096,0.01,0.214,0.002,0.129,-0.112,0.051,0.045,-0.244,0.229,0.167,-0.117,-0.077,0.042,-0.086,0.141,0.07,-0.199,-0.013,-0.057,0.023,-0.093,0.035,0.077,-0.145,-0.011,-0.085,0.094,-0.087,0.013,-0.087,-0.161,-0.066,-0.143,0.001,-0.02,0.054
50,1.415,1.754,-0.957,0.068,-0.037,1.264,-0.681,0.473,0.079,0.426,0.225,0.583,0.127,-0.428,0.877,0.24,0.017,-0.027,0.083,-0.166,0.129,0.352,-0.014,-0.077,0.238,0.02,0.185,0.102,0.288,-0.055,0.294,-0.228,0.096,0.136,0.059,-0.059,0.041,0.109,-0.021,0.156,0.369,-0.092,0.197,0.353,-0.187,-0.001,-0.066,-0.262,0.033,0.04,-0.28,0.066,-0.061,-0.08,-0.052,-0.054,0.015,-0.178,0.043,-0.152,0.107,-0.137,0.062,-0.098,-0.215,-0.062,-0.118,-0.02,-0.067,0.063
100,1.285,1.716,-1.071,-0.097,-0.166,1.233,-0.509,0.347,-0.036,0.52,0.352,0.807,0.251,-0.394,0.624,-0.058,-0.004,-0.033,0.073,-0.042,0.034,0.055,-0.034,-0.052,0.354,-0.21,0.035,0.219,0.395,-0.055,0.421,-0.395,-0.003,-0.021,0.015,0.072,-0.151,-0.08,-0.083,-0.033,0.002,-0.18,0.241,0.041,-0.062,-0.077,-0.226,-0.256,0.141,0.004,-0.312,0.118,-0.097,-0.087,0.164,0.041,0.101,-0.196,-0.064,-0.06,0.042,-0.064,-0.012,-0.183,-0.115,0.026,-0.197,0.037,0.028,0.16
150,1.373,1.421,-0.984,-0.012,0.147,0.879,-0.468,0.376,-0.135,0.465,0.293,0.847,-0.005,-0.111,0.513,0.215,0.044,-0.154,-0.196,0.188,0.257,0.223,-0.21,-0.071,0.26,-0.182,0.115,0.032,0.132,0.025,0.325,-0.185,-0.046,-0.065,0.065,-0.025,0.094,0.1,-0.033,0.045,0.125,-0.14,0.212,0.326,-0.185,0.024,-0.226,-0.239,0.153,-0.078,-0.232,0.049,-0.08,-0.047,0.039,-0.012,0.06,-0.164,-0.057,0.023,0.07,-0.062,0.005,-0.092,-0.154,-0.025,-0.087,-0.005,-0.023,0.116
200,1.548,1.379,-1.082,-0.037,0.061,0.999,-0.727,0.188,-0.258,0.359,0.203,1.063,-0.037,-0.326,0.261,-0.03,0.063,-0.024,0.07,0.252,0.299,0.211,0.024,-0.172,0.001,0.09,-0.006,0.74,0.334,-0.036,0.245,-0.081,-0.129,0.206,-0.001,-0.1,-0.04,-0.526,-0.076,0.305,0.346,0.04,0.295,0.122,-0.166,-0.106,0.137,-0.285,-0.025,0.155,-0.272,0.332,0.078,-0.14,-0.034,-0.088,0.1,-0.209,-0.097,-0.121,0.256,-0.108,0.028,-0.213,-0.383,-0.132,-0.176,0.005,-0.135,0.113
250,1.706,1.631,-0.952,-0.172,-0.297,1.329,-0.172,0.156,-0.088,0.47,0.398,0.781,0.253,-0.027,0.367,0.092,-0.02,0.06,0.103,-0.019,-0.075,0.136,0.006,-0.245,0.146,-0.068,-0.131,0.273,0.391,-0.087,0.258,0.173,0.068,0.348,-0.27,0.133,0.189,-0.218,0.01,0.071,0.132,-0.153,0.281,0.334,-0.117,0.036,-0.173,0.151,0.035,0.138,-0.118,0.214,0.093,0.118,-0.013,-0.138,0.061,-0.276,-0.062,-0.218,0.103,-0.17,-0.045,-0.022,-0.186,-0.041,-0.132,0.034,0.025,0.193
300,1.309,1.805,-0.698,-0.145,-0.069,1.125,-0.359,0.588,-0.11,0.622,0.236,0.703,0.07,-0.067,0.701,0.18,0.148,-0.096,0.027,0.185,0.001,0.185,-0.195,-0.06,0.494,-0.191,0.174,-0.007,0.402,-0.008,0.516,-0.114,-0.062,-0.066,-0.079,0.086,0.093,0.011,-0.093,-0.066,-0.052,-0.293,0.194,0.15,0.035,0.043,-0.198,0.218,-0.066,-0.011,-0.118,0.054,0.063,0.081,0.032,-0.016,0.026,-0.077,-0.006,-0.071,-0.042,-0.07,-0.046,-0.007,0.038,-0.012,-0.157,0.001,0.068,0.067
350,1.666,2.151,-0.938,-0.132,-0.332,1.644,-0.677,0.637,0.054,0.578,0.53,1.188,0.523,-0.596,0.903,-0.007,-0.06,-0.137,0.114,-0.144,-0.057,0.038,-0.103,-0.05,0.736,-0.354,0.067,0.183,0.426,-0.149,0.492,-0.881,-0.222,-0.324,0.358,0.007,-0.369,0.077,-0.225,0.038,0.078,-0.456,0.154,0.088,-0.046,-0.195,-0.464,-0.706,0.321,-0.309,-0.457,-0.116,-0.333,-0.373,0.263,0.107,0.081,-0.227,-0.175,0.09,0.151,-0.101,-0.081,-0.406,-0.149,0.085,-0.216,0.06,-0.198,0.214
400,1.673,1.896,-0.947,-0.025,-0.225,1.589,-0.59,0.661,-0.147,0.428,0.413,0.819,0.458,-0.82,0.642,-0.115,-0.193,-0.023,-0.043,-0.367,-0.081,0.011,-0.016,0.123,0.697,-0.409,0.325,0.098,0.664,-0.226,0.308,-1.024,-0.371,-0.245,0.244,0.287,-0.472,0.239,-0.254,0.039,0.12,-0.273,-0.008,0.066,-0.031,-0.167,-0.4,-0.521,0.2,-0.302,-0.321,-0.12,-0.139,-0.064,0.149,0.222,-0.023,-0.136,-0.104,0.06,0.045,-0.058,-0.138,-0.239,-0.147,0.078,-0.198,0.036,-0.051,0.132
450,1.274,1.597,-0.928,0.007,-0.055,0.995,-0.729,0.506,-0.093,0.431,0.186,0.812,0.083,-0.292,0.555,0.214,0.12,-0.077,-0.075,0.192,0.165,0.169,-0.144,-0.122,0.323,-0.121,0.091,0.16,0.259,0.013,0.231,-0.256,-0.119,-0.105,0.034,-0.015,0.046,0.07,-0.097,0.143,0.195,-0.131,0.097,0.303,-0.058,0.017,-0.077,0.009,0.113,-0.196,-0.105,0.037,0.019,-0.078,-0.089,-0.074,0.012,-0.128,-0.023,-0.057,0.087,-0.063,0.03,-0.08,-0.182,-0.032,-0.072,0.033,-0.07,0.142
