timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.251,1.706,-1.079,0.071,-0.317,1.26,-0.459,0.457,0.039,0.399,0.444,0.891,0.32,-0.43,0.508,-0.243,-0.162,-0.215,-0.044,0.005,0.07,0.126,0.011,-0.153,0.338,-0.257,-0.081,0.427,0.367,0.066,0.26,-0.26,-0.027,-0.173,0.157,0.078,-0.152,-0.076,-0.108,0.082,0.133,-0.181,0.275,0.262,-0.121,-0.106,-0.105,-0.291,0.145,0.019,-0.318,0.032,-0.164,-0.166,0.093,-0.032,0.134,-0.217,0.001,-0.062,0.135,-0.128,0.066,-0.216,-0.124,0.032,-0.251,0.001,-0.013,0.203
50,1.638,1.778,-1.011,-0.105,-0.103,1.476,-0.431,0.641,-0.052,0.684,0.441,0.81,0.246,-0.35,0.732,0.036,0.075,0.002,0.018,0.129,-0.018,0.026,-0.113,-0.292,0.551,-0.351,-0.044,0.219,0.562,-0.059,0.536,-0.185,-0.067,-0.099,-0.104,0.187,-0.164,-0.193,-0.132,0.099,0.028,-0.246,0.277,0.163,0.093,0.023,-0.299,0.208,-0.121,0.067,-0.107,0.219,0.15,0.268,0.101,-0.037,-0.073,-0.083,0.003,-0.105,-0.088,-0.141,-0.005,-0.012,-0.011,-0.048,-0.079,-0.015,0.205,0.112
100,1.649,1.795,-1.138,-0.183,-0.221,1.581,-0.653,0.457,0.138,0.53,0.329,1.067,0.485,-0.379,0.887,0.208,0.075,-0.011,0.208,-0.04,-0.033,0.126,-0.076,-0.109,0.514,-0.177,-0.018,0.368,0.344,0.003,0.534,-0.363,-0.033,0.074,0.045,-0.042,-0.094,-0.236,-0.11,0.013,0.258,-0.135,0.356,0.217,-0.129,-0.183,-0.19,-0.359,0.195,0.09,-0.393,0.12,-0.083,-0.12,0.065,-0.063,0.019,-0.159,0.007,-0.068,0.093,-0.206,0.074,-0.151,-0.17,0.033,-0.182,-0.023,0.033,0.212
150,1.395,1.666,-0.805,-0.055,-0.123,0.913,-0.65,0.452,-0.06,0.51,0.15,0.686,0.154,-0.448,0.755,0.217,0.044,-0.142,-0.126,0.229,0.079,0.347,-0.045,-0.022,0.39,-0.199,0.193,0.087,0.102,0.079,0.18,-0.529,-0.141,-0.272,0.185,-0.018,0.216,0.181,-0.045,0.129,0.133,-0.116,0.128,0.315,0.045,-0.115,-0.163,-0.327,0.279,-0.159,-0.134,-0.113,-0.224,-0.101,-0.093,-0.001,-0.047,-0.033,0.025,0.014,0.085,-0.075,0.075,-0.048,-0.182,-0.016,-0.096,0.026,-0.137,0.06
200,1.668,1.397,-0.834,-0.233,-0.082,1.201,-0.517,0.299,-0.156,0.675,0.18,1.239,0.226,-0.101,0.613,0.188,0.164,-0.126,0.1,0.391,0.101,0.054,-0.23,-0.166,0.401,-0.269,-0.062,0.332,0.528,-0.009,0.35,-0.205,-0.12,-0.03,-0.053,0.133,-0.015,-0.033,-0.019,0.053,0.142,-0.246,0.26,0.274,-0.145,-0.106,-0.143,0.071,0.105,-0.042,-0.025,-0.013,0.008,0.069,-0.109,-0.174,0.05,-0.147,-0.018,-0.038,0.074,-0.139,0.053,-0.058,-0.142,-0.131,-0.069,-0.013,0.018,0.081
250,1.184,1.492,-0.829,-0.039,-0.15,1.087,-0.649,0.332,0.066,0.452,0.256,0.651,0.081,-0.336,0.651,0.161,0.102,-0.058,0.075,0.116,0.083,0.357,-0.012,-0.173,0.176,0.002,0.11,0.299,0.206,0.035,0.215,-0.132,0.03,0.239,-0.07,0.085,0.23,-0.054,-0.002,0.167,0.304,0.005,0.252,0.358,-0.131,-0.051,0.104,0.087,0.063,0.209,-0.075,0.115,0.114,0.172,-0.263,-0.116,-0.004,-0.12,0.101,-0.277,0.092,-0.245,0.047,0.062,-0.236,-0.096,-0.026,-0.031,0.066,0.075
300,1.668,1.483,-0.851,-0.02,-0.024,1.218,-0.567,0.393,-0.111,0.536,0.253,1.283,0.174,-0.288,0.684,0.324,0.073,-0.148,0.054,0.208,0.266,0.326,-0.138,-0.003,0.342,-0.293,0.137,0.129,0.244,0.126,0.237,-0.337,0.065,-0.162,0.118,0.009,0.321,0.23,-0.046,0.065,0.337,0.07,0.308,0.347,-0.286,-0.196,0.019,-0.119,0.235,0.104,0.033,-0.065,-0.065,0.049,-0.335,-0.232,-0.043,-0.13,0.095,-0.12,0.198,-0.146,0.151,-0.07,-0.278,-0.116,-0.061,-0.072,0.072,0.064
350,1.148,1.647,-0.853,0.014,-0.233,1.16,-0.577,0.547,0.01,0.246,0.27,0.488,0.198,-0.515,0.573,0.007,-0.058,-0.089,-0.091,-0.046,-0.077,0.14,0.038,-0.033,0.29,-0.146,0.134,0.189,0.323,0.005,0.251,-0.298,0.009,-0.124,0.098,-0.048,-0.074,-0.12,-0.124,0.016,0.116,-0.088,0.257,0.151,0.064,-0.067,-0.143,-0.335,0.154,-0.062,-0.25,0.055,-0.177,-0.107,0.049,0.083,0.055,-0.082,-0.073,-0.015,0.085,-0.057,0.02,-0.095,-0.14,-0.057,-0.124,-0.016,-0.018,0.107
400,1.535,1.804,-0.959,-0.184,-0.114,1.344,-0.488,0.526,0.043,0.661,0.306,0.644,0.097,-0.205,0.79,0.237,0.088,-0.058,0.009,0.164,0.024,0.109,-0.041,-0.149,0.347,-0.206,-0.078,0.104,0.345,0.069,0.429,0.021,0.097,0.047,-0.133,0.03,0.235,0.001,-0.007,-0.088,0.006,-0.166,0.368,0.291,0.038,-0.015,-0.282,0.19,0.209,-0.042,-0.037,0.057,0.018,0.172,-0.142,-0.045,0.013,-0.046,0.013,-0.076,-0.027,-0.056,0.062,0.052,0.029,-0.111,-0.055,-0.021,0.056,0.056
450,1.572,1.811,-1.042,-0.077,-0.158,1.389,-0.424,0.556,-0.012,0.452,0.506,0.813,0.368,-0.392,0.777,-0.089,-0.122,-0.117,-0.013,-0.017,-0.119,-0.048,-0.09,-0.171,0.638,-0.353,0.016,0.103,0.43,-0.092,0.402,-0.258,-0.06,-0.222,0.032,0.039,-0.195,0.15,-0.154,-0.124,-0.024,-0.339,0.249,0.16,0.121,-0.116,-0.365,-0.207,0.185,-0.11,-0.292,0.046,-0.126,-0.039,0.205,-0.008,0.015,-0.139,0.039,-0.003,-0.024,-0.09,0.001,-0.136,0.086,0.096,-0.137,0.041,0.06,0.15
