timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.849,1.775,-0.725,-0.125,-0.108,1.324,-0.367,0.307,-0.178,0.617,0.533,1.06,0.114,-0.057,0.569,0.234,0.003,-0.27,-0.119,0.13,0.069,0.194,-0.169,-0.103,0.328,-0.242,0.134,0.075,0.309,0.009,0.391,-0.208,0.083,0.059,-0.063,0.097,0.235,0.087,-0.024,-0.011,0.076,-0.127,0.343,0.364,-0.031,-0.068,-0.238,-0.173,0.228,0.005,-0.071,0.017,-0.131,0.03,-0.127,-0.139,-0.022,-0.122,0.084,-0.07,0.081,-0.106,0.103,-0.065,-0.154,-0.07,-0.113,-0.043,0.028,0.082
50,1.414,1.775,-0.903,-0.017,-0.314,1.07,-0.302,0.241,-0.093,0.316,0.508,0.825,0.169,-0.205,0.447,0.037,-0.079,-0.132,-0.101,0.104,0.001,0.177,-0.099,-0.218,0.083,-0.112,0.069,0.305,0.106,0.076,0.134,0.062,0.101,-0.055,0.074,-0.144,0.145,-0.127,-0.074,-0.062,0.026,-0.022,0.374,0.281,0.114,-0.022,-0.131,-0.3,0.156,0.027,-0.226,0.168,-0.095,0.115,-0.013,-0.058,-0.042,-0.102,0.048,-0.185,0.088,-0.11,0.054,-0.05,-0.213,-0.099,-0.113,0.034,-0.021,0.085
100,1.876,1.721,-0.791,-0.413,-0.247,1.483,-0.02,0.482,-0.109,0.648,0.529,1.119,0.299,-0.009,0.711,0.132,0.095,-0.291,-0.001,0.197,0.014,0.072,-0.272,-0.19,0.527,-0.31,0.063,0.167,0.356,0.014,0.471,-0.148,0.023,-0.131,0.12,0.051,0.099,0.003,-0.074,-0.023,-0.012,-0.262,0.385,0.322,-0.08,-0.117,-0.229,0.011,0.222,-0.027,-0.008,-0.059,-0.068,0.062,-0.018,-0.029,-0.051,-0.087,0.052,-0.031,0.005,-0.092,0.064,0.014,-0.032,-0.084,-0.059,-0.028,0.037,0.045
150,1.948,1.606,-0.649,-0.404,-0.067,1.279,-0.055,0.409,-0.268,0.755,0.455,1.431,0.187,0.273,0.709,0.265,0.112,-0.22,-0.211,0.317,-0.078,-0.037,-0.32,-0.171,0.569,-0.373,0.079,-0.113,0.246,0.129,0.587,-0.205,0.053,-0.114,-0.073,0.183,0.27,0.232,0.018,-0.166,-0.198,-0.308,0.272,0.303,0.118,0.07,-0.595,0.179,0.195,-0.116,0.064,0.001,0.058,0.298,0.054,-0.033,-0.11,-0.004,0.036,-0.051,-0.126,-0.112,-0.051,0.033,0.145,-0.016,0.001,-0.028,0.11,0.015
200,1.204,1.705,-0.82,-0.132,-0.207,1.105,-0.435,0.474,-0.005,0.515,0.263,0.777,0.118,-0.177,0.687,0.184,0.05,-0.24,-0.207,0.179,0.002,0.291,-0.159,-0.044,0.235,-0.216,0.067,0.012,0.066,0.104,0.353,-0.263,0.029,-0.082,0.067,0.028,0.169,0.183,-0.087,-0.088,0.049,-0.173,0.276,0.334,-0.09,-0.104,-0.208,-0.074,0.158,0.03,-0.122,0.012,-0.136,0.034,-0.121,-0.138,-0.001,-0.168,0.083,-0.045,0.038,-0.148,0.172,-0.085,-0.135,0.015,-0.018,-0.038,0.028,0.107
250,1.72,1.264,-0.885,-0.404,0.13,1.077,-0.24,0.265,-0.374,0.597,0.216,1.34,-0.001,0.079,0.445,0.325,0.199,-0.147,0.036,0.378,0.127,0.201,-0.221,-0.119,0.237,-0.181,0.143,0.22,0.294,0.095,0.438,0.133,-0.045,0.267,-0.106,0.051,0.309,-0.104,-0.029,-0.09,0.003,-0.235,0.291,0.231,-0.01,0.026,0.003,0.115,-0.002,0.174,-0.061,0.218,0.053,0.226,-0.117,-0.189,0.011,-0.112,0.054,-0.192,0.015,-0.174,0.066,0.037,-0.123,-0.135,-0.041,0.005,0.153,0.09
300,1.499,1.522,-0.984,-0.144,-0.248,1.213,-0.309,0.127,-0.008,0.444,0.402,0.789,0.17,-0.085,0.379,0.091,0.056,-0.142,0.176,0.004,0.078,0.154,0.011,-0.12,0.073,-0.08,-0.133,0.294,0.218,0.013,0.348,0.062,0.108,0.149,0.008,-0.115,0.142,-0.233,-0.041,-0.033,0.14,-0.089,0.406,0.289,-0.132,-0.036,-0.016,-0.212,0.175,0.171,-0.175,0.139,-0.05,0.06,-0.038,-0.095,-0.013,-0.186,0.071,-0.234,0.123,-0.209,0.057,-0.05,-0.159,-0.072,-0.017,-0.006,0.031,0.113
350,1.445,1.907,-1.053,0.022,-0.424,1.459,-0.436,0.375,0.194,0.268,0.432,0.544,0.425,-0.419,0.54,-0.136,-0.165,0.054,0.19,-0.219,0.002,0.157,0.022,-0.225,0.278,-0.066,-0.132,0.323,0.285,-0.102,0.262,-0.279,0.038,0.001,0.084,-0.06,-0.17,-0.266,-0.114,0.099,0.265,-0.002,0.316,0.138,-0.05,-0.184,-0.063,-0.23,0.046,0.121,-0.205,0.229,-0.045,-0.076,-0.004,0.083,0.055,-0.258,-0.131,-0.13,0.146,-0.119,0.104,-0.13,-0.145,-0.106,-0.228,0.009,-0.018,0.114
400,1.536,1.828,-0.873,-0.021,0.014,1.301,-0.484,0.743,-0.131,0.445,0.342,1.002,0.203,-0.51,0.849,0.222,0.033,-0.217,-0.196,0.24,-0.096,0.15,-0.164,0.053,0.635,-0.373,0.247,-0.009,0.386,0.052,0.363,-0.55,-0.111,-0.467,0.149,0.032,0.035,0.31,-0.104,0.019,0.122,-0.288,0.172,0.202,0.027,-0.074,-0.296,-0.303,0.241,-0.204,-0.242,-0.141,-0.218,-0.12,0.116,0.137,0.034,-0.107,-0.112,0.202,0.006,0.03,0.009,-0.173,0.043,0.018,-0.236,0.025,-0.121,-0.002
450,1.415,1.391,-1.062,-0.032,-0.017,1.08,-0.528,0.238,0.011,0.348,0.169,0.681,0.126,-0.19,0.488,0.123,0.189,-0.022,0.131,0.104,0.214,0.346,0.177,-0.107,-0.009,0.083,-0.051,0.345,0.238,0.099,0.195,0.13,0.296,0.27,-0.137,-0.009,0.318,-0.186,0.023,0.086,0.376,0.072,0.474,0.339,-0.23,-0.079,0.164,-0.047,0.084,0.309,-0.078,0.184,0.035,0.097,-0.351,-0.14,0.069,-0.249,0.089,-0.288,0.202,-0.178,0.159,-0.031,-0.367,-0.147,-0.153,-0.017,0.016,0.105
