timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.562,1.798,-0.847,0.011,-0.292,1.301,-0.459,0.448,0.048,0.331,0.332,0.957,0.449,-0.42,0.674,-0.071,-0.123,-0.188,-0.019,-0.12,-0.077,0.223,-0.044,-0.022,0.42,-0.185,0.238,0.112,0.351,-0.048,0.275,-0.811,-0.07,-0.133,0.267,0.096,-0.333,0.131,-0.206,0.08,0.286,-0.119,0.158,0.195,-0.22,-0.214,-0.189,-0.515,0.157,-0.11,-0.326,-0.193,-0.297,-0.347,0.176,0.191,0.063,-0.139,-0.072,0.122,-0.006,0.006,0.067,-0.246,-0.034,0.029,-0.3,-0.008,-0.051,0.081
50,1.514,1.346,-0.832,0.02,-0.072,1.031,-0.538,0.297,-0.101,0.556,0.284,0.776,0.09,-0.112,0.492,0.213,0.115,-0.074,0.044,0.2,0.18,0.209,-0.085,-0.262,0.164,0.0,-0.028,0.31,0.305,0.01,0.203,0.006,-0.049,0.079,-0.141,0.106,0.214,-0.326,-0.048,0.189,0.123,-0.096,0.341,0.385,0.039,-0.013,-0.151,0.011,0.159,0.061,0.027,0.11,0.032,0.1,-0.164,-0.004,0.018,-0.168,-0.083,-0.116,0.007,-0.195,0.071,0.011,-0.092,-0.198,-0.092,-0.018,0.007,0.091
100,1.252,1.638,-1.033,-0.089,-0.19,1.168,-0.66,0.296,-0.043,0.293,0.203,0.782,0.198,-0.358,0.542,0.158,0.013,0.14,0.17,-0.023,0.073,0.2,0.15,-0.229,0.111,0.042,-0.003,0.446,0.294,-0.04,0.26,0.017,0.051,0.2,-0.025,-0.037,0.139,-0.307,-0.047,0.069,0.283,-0.026,0.411,0.248,-0.036,-0.017,0.024,-0.261,0.094,0.155,-0.279,0.221,0.011,-0.026,-0.126,-0.158,0.049,-0.157,0.028,-0.216,0.162,-0.184,0.118,-0.086,-0.308,-0.109,-0.074,-0.009,-0.013,0.143
150,1.462,1.596,-0.995,-0.084,-0.279,1.341,-0.466,0.302,0.107,0.449,0.274,0.809,0.469,-0.341,0.723,-0.062,-0.019,-0.067,0.204,-0.224,-0.01,0.053,0.073,-0.097,0.507,-0.129,-0.049,0.288,0.482,0.017,0.278,-0.48,0.085,0.07,0.007,0.077,-0.14,-0.28,-0.07,0.067,0.07,-0.102,0.3,0.128,-0.149,-0.07,-0.229,-0.178,0.034,0.004,-0.331,0.127,-0.06,-0.107,0.114,-0.011,0.111,-0.175,-0.129,-0.064,0.106,-0.166,0.007,-0.118,-0.188,-0.027,-0.16,0.04,0.072,0.219
200,1.655,1.964,-0.954,-0.237,0.106,1.395,-0.524,0.683,-0.133,0.835,0.436,1.303,0.133,-0.058,0.92,0.268,0.132,-0.425,-0.222,0.445,0.043,0.135,-0.418,-0.116,0.686,-0.47,0.061,0.019,0.312,0.19,0.642,-0.15,-0.109,-0.198,-0.015,0.129,0.136,0.155,-0.142,-0.158,-0.103,-0.436,0.308,0.282,-0.001,0.022,-0.246,0.02,0.151,-0.035,-0.101,-0.079,-0.078,0.036,0.026,-0.062,0.02,-0.182,0.049,0.005,-0.058,-0.158,-0.005,-0.119,0.022,0.042,-0.098,0.011,0.061,0.113
250,1.537,1.59,-0.799,-0.056,-0.101,1.059,-0.261,0.487,-0.205,0.502,0.354,0.949,0.089,-0.144,0.556,0.224,0.133,-0.309,-0.255,0.333,0.015,0.089,-0.185,-0.041,0.393,-0.301,0.152,0.07,0.237,0.037,0.476,-0.109,0.001,-0.232,0.058,0.035,0.12,0.057,-0.133,-0.055,0.122,-0.132,0.269,0.277,0.033,-0.1,-0.153,-0.168,0.187,-0.012,-0.179,-0.059,-0.1,0.025,-0.067,-0.074,0.02,-0.069,0.065,-0.005,0.049,-0.055,0.072,-0.036,0.017,-0.066,-0.118,0.006,0.043,0.013
300,1.579,1.569,-0.861,-0.04,-0.147,1.082,-0.568,0.305,-0.079,0.4,0.238,0.724,0.078,-0.206,0.595,0.338,0.25,-0.132,-0.106,0.238,0.104,0.229,-0.11,-0.121,0.269,-0.086,0.13,0.244,0.17,0.117,0.25,-0.169,0.052,0.015,-0.006,0.013,0.212,-0.128,0.043,0.152,0.219,-0.096,0.246,0.366,0.078,0.05,-0.074,-0.129,0.056,0.072,-0.202,0.09,-0.071,0.028,-0.074,-0.028,0.025,-0.089,-0.002,-0.124,-0.038,-0.148,0.022,0.04,-0.111,-0.061,-0.118,-0.016,0.051,0.094
350,1.631,1.933,-0.845,-0.07,-0.244,1.345,-0.39,0.541,-0.045,0.442,0.437,1.047,0.297,-0.406,0.561,0.036,-0.04,-0.012,-0.095,0.187,-0.086,0.039,-0.073,-0.117,0.443,-0.239,0.034,0.195,0.431,0.008,0.377,-0.279,-0.114,-0.129,-0.016,0.133,-0.174,0.002,-0.1,0.072,0.063,-0.15,0.206,0.344,0.019,-0.075,-0.376,-0.144,0.033,-0.096,-0.167,-0.038,-0.084,-0.053,0.039,0.039,-0.01,-0.105,-0.01,0.004,-0.031,-0.083,0.002,-0.108,0.009,0.074,-0.178,-0.013,0.02,0.136
400,1.667,1.743,-0.727,-0.224,0.134,1.062,-0.815,0.637,-0.238,0.598,0.146,1.188,-0.039,-0.342,0.952,0.568,0.288,-0.303,-0.207,0.41,0.13,0.411,-0.189,0.08,0.477,-0.225,0.476,-0.117,0.051,0.177,0.356,-0.725,-0.133,-0.287,0.24,0.062,0.295,0.433,-0.067,0.121,0.332,-0.169,0.136,0.476,-0.022,-0.1,-0.235,-0.347,0.287,-0.21,-0.032,-0.243,-0.266,-0.054,-0.233,-0.138,-0.157,-0.056,0.053,0.074,0.079,-0.012,0.18,-0.083,-0.213,-0.105,-0.04,-0.055,-0.109,-0.005
450,1.579,1.772,-0.783,0.02,-0.196,1.235,-0.248,0.557,-0.147,0.272,0.307,0.663,0.219,-0.485,0.422,-0.165,-0.045,0.119,-0.03,-0.142,-0.18,-0.154,-0.013,-0.031,0.473,-0.267,0.137,0.111,0.461,-0.196,0.302,-0.374,-0.12,-0.14,-0.03,0.165,-0.328,-0.017,-0.101,0.09,0.07,-0.125,0.057,0.04,-0.076,-0.044,-0.391,-0.147,-0.071,-0.215,-0.291,0.045,-0.063,-0.168,0.397,0.258,0.014,-0.204,-0.21,0.026,-0.085,-0.111,-0.09,-0.18,0.028,0.061,-0.252,0.058,0.012,0.197
