timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.527,1.508,-0.763,-0.023,-0.166,1.075,-0.566,0.32,-0.015,0.501,0.245,0.849,0.314,-0.276,0.669,-0.008,0.072,-0.078,0.081,0.029,0.183,0.202,0.029,-0.123,0.247,-0.094,0.073,0.396,0.365,-0.046,0.177,-0.405,-0.11,-0.061,0.162,0.114,0.047,-0.067,-0.017,0.091,0.288,-0.06,0.324,0.121,-0.33,-0.196,0.038,-0.189,0.124,0.114,-0.172,-0.011,-0.033,-0.02,-0.029,-0.001,0.063,-0.189,-0.021,-0.057,0.085,-0.089,0.031,-0.123,-0.22,-0.042,-0.11,-0.011,-0.052,0.033
50,1.933,1.463,-0.916,-0.324,-0.102,1.426,0.155,0.122,-0.116,0.74,0.462,1.141,0.285,0.182,0.614,0.08,0.113,-0.182,0.188,0.12,0.012,-0.12,-0.125,-0.098,0.42,-0.291,-0.355,0.105,0.568,-0.088,0.594,0.144,0.138,0.104,-0.124,0.127,0.108,0.124,0.027,-0.178,-0.067,-0.43,0.318,0.036,-0.126,-0.038,-0.192,0.325,0.107,0.062,-0.014,0.121,0.149,0.274,-0.038,-0.144,-0.002,-0.115,0.124,-0.129,-0.041,-0.082,-0.04,0.022,0.032,-0.012,0.066,0.001,0.118,0.048
100,1.637,1.888,-0.683,0.012,-0.179,1.379,-0.35,0.651,-0.049,0.428,0.404,0.667,0.31,-0.574,0.702,0.063,-0.107,-0.095,-0.067,-0.113,-0.047,0.083,-0.032,-0.051,0.651,-0.297,0.237,-0.075,0.432,-0.15,0.393,-0.471,-0.19,-0.293,0.084,0.116,-0.235,0.147,-0.196,0.08,0.091,-0.295,0.133,0.284,-0.055,-0.121,-0.487,-0.289,0.094,-0.185,-0.228,0.014,-0.107,-0.173,0.138,0.073,0.038,-0.074,-0.099,0.124,0.018,-0.05,-0.01,-0.178,0.027,-0.005,-0.236,-0.009,-0.064,0.116
150,1.258,1.337,-1.091,0.06,0.26,0.958,-0.646,0.501,-0.095,0.446,0.252,0.837,-0.001,-0.305,0.656,0.325,0.086,-0.22,-0.193,0.242,0.275,0.277,-0.125,-0.008,0.219,-0.136,0.188,0.176,0.198,0.12,0.168,0.045,-0.065,-0.183,0.108,-0.02,0.25,0.147,0.009,0.05,0.366,-0.091,0.326,0.391,-0.158,-0.059,0.048,-0.153,0.193,0.082,-0.05,0.009,0.001,0.067,-0.22,-0.099,0.045,-0.118,0.085,-0.079,0.103,-0.072,0.079,-0.041,-0.161,-0.141,-0.066,-0.034,-0.017,0.018
200,1.629,1.781,-0.85,-0.099,-0.181,1.466,-0.356,0.432,0.001,0.608,0.35,0.803,0.272,-0.078,0.69,0.124,0.046,0.01,0.169,-0.012,0.074,0.02,-0.182,-0.184,0.379,-0.194,0.066,-0.017,0.374,-0.193,0.492,-0.081,0.05,0.167,-0.144,0.207,0.152,-0.125,-0.032,0.053,0.143,-0.14,0.45,0.279,-0.122,-0.007,-0.218,0.339,-0.014,0.2,0.122,0.161,0.242,0.372,-0.125,-0.153,-0.148,-0.157,0.071,-0.247,0.04,-0.157,-0.031,0.006,-0.062,-0.084,0.005,-0.028,0.127,0.027
250,1.753,1.412,-0.948,-0.167,-0.222,1.336,-0.191,0.153,-0.129,0.41,0.356,0.977,0.265,-0.148,0.333,-0.028,0.056,0.012,0.194,-0.062,0.064,0.04,0.085,-0.128,0.214,-0.108,-0.027,0.325,0.61,-0.098,0.403,-0.072,0.143,0.277,-0.101,0.181,-0.057,-0.295,-0.062,0.059,0.126,-0.06,0.344,0.125,-0.26,-0.072,0.09,-0.028,0.025,0.249,-0.174,0.249,0.065,0.002,-0.162,-0.127,0.135,-0.189,-0.036,-0.21,0.187,-0.164,0.061,-0.085,-0.273,-0.181,-0.163,0.019,0.026,0.097
300,1.147,1.947,-0.995,-0.063,-0.293,1.398,-0.579,0.431,0.235,0.753,0.359,0.466,0.351,-0.337,0.783,0.192,-0.008,-0.063,0.096,-0.112,0.025,0.196,-0.001,-0.168,0.442,-0.081,-0.133,0.057,0.235,-0.122,0.47,-0.275,-0.086,0.142,0.031,0.085,-0.068,0.038,0.017,-0.071,0.14,-0.19,0.229,0.209,-0.21,-0.081,-0.265,0.005,0.074,-0.021,-0.22,-0.063,-0.034,-0.061,-0.001,0.024,0.061,-0.182,-0.064,-0.051,0.07,-0.101,-0.058,-0.091,-0.072,0.039,-0.102,-0.025,0.033,0.166
350,1.791,1.414,-0.851,-0.111,-0.082,1.322,-0.577,0.121,-0.101,0.452,0.425,0.856,0.05,-0.296,0.537,0.211,0.097,-0.055,0.016,0.069,0.246,0.494,0.103,-0.109,-0.069,0.053,0.194,0.379,0.143,-0.005,0.069,-0.09,0.139,0.253,-0.028,-0.09,0.316,0.025,0.094,0.178,0.474,0.204,0.404,0.483,-0.239,-0.021,0.021,-0.231,0.133,0.225,-0.055,0.074,0.074,0.149,-0.222,-0.122,-0.093,-0.163,0.03,-0.42,0.203,-0.209,0.003,-0.048,-0.391,-0.111,-0.041,-0.007,0.021,0.118
400,1.717,1.624,-0.979,-0.161,-0.106,1.338,-0.537,0.243,-0.222,0.516,0.374,1.223,0.236,-0.257,0.536,0.273,-0.017,-0.121,-0.017,0.188,0.095,0.172,-0.094,-0.043,0.211,-0.084,-0.031,0.398,0.5,0.007,0.283,-0.206,-0.152,0.077,0.082,0.029,0.019,-0.005,-0.061,-0.098,0.157,-0.173,0.319,0.253,-0.222,-0.091,-0.117,-0.272,0.184,0.01,-0.27,0.046,-0.112,0.017,0.016,-0.112,0.036,-0.188,0.016,-0.131,0.117,-0.12,0.055,-0.159,-0.122,-0.037,-0.185,0.042,-0.016,0.054
450,1.609,1.621,-0.914,-0.124,-0.252,1.283,-0.248,0.323,-0.069,0.638,0.504,0.914,0.154,-0.01,0.474,0.123,0.047,-0.149,-0.107,0.2,0.055,0.009,-0.187,-0.286,0.417,-0.195,-0.072,0.145,0.263,-0.084,0.443,0.169,-0.086,0.159,-0.234,0.156,0.05,-0.091,-0.142,-0.096,-0.053,-0.233,0.349,0.261,0.012,0.063,-0.245,0.385,-0.022,-0.008,0.097,0.145,0.165,0.371,0.047,-0.071,-0.074,-0.11,0.061,-0.205,-0.033,-0.201,-0.108,0.067,0.048,-0.096,0.066,-0.015,0.23,0.079
