timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.577,1.614,-0.902,-0.162,-0.042,1.058,-0.554,0.516,-0.158,0.512,0.226,0.759,0.073,-0.228,0.707,0.221,0.13,0.041,-0.076,0.251,0.076,0.074,-0.034,-0.109,0.392,-0.157,0.087,0.154,0.341,-0.028,0.446,-0.168,-0.124,0.078,-0.052,0.04,0.054,-0.201,0.045,0.22,0.155,-0.015,0.238,0.245,0.009,0.003,-0.207,0.04,-0.047,0.012,-0.068,0.196,0.077,0.106,-0.039,-0.141,-0.09,-0.041,-0.01,-0.094,0.023,-0.156,0.022,0.0,-0.152,-0.063,-0.097,-0.028,-0.014,0.047
50,1.864,1.673,-0.969,-0.2,-0.085,1.427,-0.483,0.573,-0.135,0.765,0.429,0.998,0.184,-0.161,0.633,0.187,0.06,-0.11,-0.031,0.303,0.093,0.049,-0.088,-0.321,0.473,-0.232,0.081,0.202,0.568,-0.056,0.491,0.054,-0.204,0.202,-0.299,0.15,0.018,-0.14,-0.047,-0.117,-0.008,-0.265,0.308,0.272,0.009,0.1,-0.342,0.16,-0.149,0.052,-0.101,0.282,0.181,0.273,0.07,-0.131,-0.027,-0.082,-0.003,-0.1,-0.03,-0.209,-0.023,-0.041,0.027,-0.053,-0.035,0.025,0.206,0.047
100,1.383,1.539,-0.986,-0.097,0.007,1.048,-0.457,0.384,-0.113,0.434,0.33,0.728,-0.032,-0.156,0.479,0.131,0.031,-0.111,-0.065,0.141,0.152,0.104,-0.045,-0.123,0.182,-0.137,0.047,0.27,0.231,-0.036,0.325,0.003,-0.014,0.051,0.006,0.0,0.128,-0.112,-0.003,0.015,0.134,-0.02,0.331,0.225,-0.069,-0.029,-0.159,-0.108,0.051,-0.039,-0.067,0.094,0.021,0.103,0.045,-0.112,-0.139,-0.068,0.055,-0.207,0.023,-0.156,0.028,0.002,-0.095,-0.08,-0.044,-0.013,0.09,0.125
150,1.237,1.986,-0.747,-0.211,-0.056,1.344,-0.621,0.902,0.043,0.558,0.138,0.998,0.195,-0.317,1.015,0.496,0.144,-0.15,-0.126,0.139,-0.156,0.084,-0.272,0.064,0.818,-0.364,0.37,-0.293,0.212,0.03,0.628,-0.691,-0.08,-0.192,0.131,0.096,0.14,0.338,-0.102,-0.142,-0.047,-0.394,0.196,0.213,0.128,-0.029,-0.446,-0.233,0.215,-0.247,-0.131,-0.233,-0.283,-0.087,0.124,0.22,-0.027,-0.029,-0.115,0.273,-0.133,-0.02,0.05,-0.147,0.086,-0.011,-0.078,-0.052,-0.047,0.01
200,1.472,1.72,-0.748,-0.139,-0.07,1.245,-0.45,0.445,-0.014,0.584,0.237,0.981,0.188,-0.215,0.792,0.213,0.196,-0.097,-0.023,0.062,0.016,0.162,-0.153,0.033,0.431,-0.256,0.158,-0.058,0.203,0.114,0.494,-0.514,0.053,-0.076,0.198,0.153,0.111,0.318,-0.017,0.006,0.036,-0.255,0.168,0.05,-0.184,-0.02,-0.104,-0.09,0.182,-0.205,-0.107,-0.19,-0.064,-0.094,0.081,0.102,-0.01,-0.106,-0.059,0.073,-0.016,-0.031,-0.016,-0.094,-0.104,-0.017,-0.066,-0.01,-0.089,0.038
250,1.731,2.05,-0.843,-0.079,-0.505,1.805,-0.069,0.49,0.092,0.41,0.574,0.895,0.757,-0.529,0.612,-0.417,-0.317,0.033,0.198,-0.494,-0.402,-0.255,-0.004,-0.229,0.68,-0.373,0.023,0.216,0.886,-0.374,0.481,-0.623,-0.196,-0.18,-0.044,0.271,-0.744,-0.227,-0.384,-0.189,-0.117,-0.444,0.261,-0.07,-0.114,-0.246,-0.655,-0.352,-0.0,-0.149,-0.597,-0.004,-0.257,-0.308,0.597,0.488,0.291,-0.22,-0.357,0.342,-0.131,0.0,-0.19,-0.338,0.196,0.091,-0.377,0.08,-0.04,0.154
300,1.937,1.354,-0.852,-0.222,-0.004,1.199,-0.218,0.352,-0.257,0.625,0.258,1.098,0.081,0.123,0.579,0.248,0.098,0.009,-0.118,0.214,0.01,-0.026,-0.229,-0.191,0.431,-0.206,0.126,0.145,0.524,0.036,0.566,0.108,-0.157,0.188,-0.232,0.174,0.088,-0.092,-0.162,-0.222,-0.281,-0.252,0.37,0.115,-0.142,0.05,-0.143,0.348,-0.101,0.026,0.029,0.16,0.125,0.27,0.08,-0.007,-0.077,-0.07,0.079,-0.002,-0.208,-0.153,-0.049,0.07,0.108,-0.059,0.083,-0.059,0.119,0.006
350,1.406,2.125,-0.928,-0.201,-0.429,1.704,-0.581,0.679,0.146,0.468,0.429,0.683,0.387,-0.487,0.828,0.051,0.001,0.054,0.011,-0.16,-0.197,0.116,0.008,-0.227,0.57,-0.298,0.184,0.107,0.352,-0.108,0.508,-0.525,0.047,0.062,0.02,0.098,0.017,-0.067,-0.052,-0.115,0.025,-0.275,0.343,0.137,0.067,-0.026,-0.202,-0.117,0.124,0.053,-0.194,0.106,-0.105,0.112,0.023,0.022,0.031,-0.102,0.011,-0.032,-0.011,-0.075,0.034,-0.067,0.013,-0.04,-0.152,-0.009,0.076,0.066
400,1.675,1.848,-0.802,-0.141,-0.008,1.477,-0.369,0.72,-0.17,0.615,0.331,1.191,0.306,-0.286,0.835,0.287,0.098,-0.274,-0.12,0.196,-0.039,0.088,-0.341,0.001,0.684,-0.431,0.203,-0.066,0.367,0.008,0.528,-0.585,-0.207,-0.355,0.244,0.029,-0.015,0.275,-0.138,-0.121,0.006,-0.395,0.209,0.225,0.042,-0.128,-0.411,-0.259,0.239,-0.198,-0.224,-0.116,-0.153,-0.072,0.183,0.081,0.088,-0.152,-0.096,0.253,-0.092,-0.033,0.061,-0.155,-0.028,0.036,-0.177,0.009,-0.001,0.085
450,1.645,1.478,-0.885,-0.231,-0.065,1.216,-0.24,0.443,-0.105,0.657,0.263,0.973,0.166,0.115,0.659,0.13,0.131,-0.068,-0.056,0.164,-0.054,-0.013,-0.274,-0.107,0.483,-0.405,0.053,-0.074,0.49,0.038,0.42,-0.157,0.051,0.045,-0.206,0.25,0.083,0.082,-0.037,-0.107,-0.048,-0.258,0.201,0.214,-0.053,0.031,-0.304,0.436,-0.007,-0.02,0.031,0.11,0.164,0.178,-0.016,-0.098,-0.01,-0.107,-0.018,-0.095,-0.046,-0.185,-0.011,0.04,-0.03,-0.062,0.05,-0.029,0.152,0.113
