timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.197,1.726,-0.667,-0.057,-0.216,0.982,-0.496,0.571,-0.034,0.355,0.162,0.694,0.032,-0.23,0.792,0.175,-0.006,-0.115,-0.145,0.259,-0.053,0.209,-0.176,-0.138,0.328,-0.187,0.089,0.03,0.121,0.101,0.347,-0.218,-0.068,-0.237,0.104,-0.036,0.061,0.107,-0.07,0.051,0.133,-0.155,0.13,0.244,0.02,-0.111,-0.26,-0.214,0.181,-0.155,-0.178,-0.064,-0.13,-0.103,0.035,0.044,0.049,-0.101,-0.066,0.096,0.029,-0.038,0.057,-0.083,-0.051,-0.019,-0.123,-0.006,-0.129,0.033
50,1.483,1.35,-0.856,-0.151,-0.008,0.945,-0.354,0.365,-0.132,0.466,0.208,0.746,0.008,-0.054,0.613,0.242,0.169,-0.193,0.002,0.175,0.144,0.271,-0.137,-0.059,0.23,-0.101,0.162,0.091,0.108,0.003,0.355,-0.126,0.099,0.101,-0.001,0.084,0.291,0.005,-0.001,0.082,0.243,-0.092,0.349,0.272,-0.118,0.025,-0.081,0.05,0.05,0.106,-0.067,0.094,0.049,0.133,-0.08,-0.099,-0.054,-0.079,0.039,-0.186,0.005,-0.15,-0.055,0.051,-0.15,-0.097,-0.002,-0.053,0.044,0.117
100,1.659,2.02,-0.857,-0.048,-0.14,1.504,-0.709,0.759,-0.114,0.637,0.409,1.201,0.372,-0.599,0.902,0.231,0.002,-0.187,-0.142,0.013,-0.115,0.149,-0.057,-0.036,0.737,-0.322,0.29,0.06,0.462,0.1,0.448,-0.593,-0.266,-0.379,0.222,0.077,-0.144,0.145,-0.184,0.067,0.061,-0.315,0.247,0.347,0.041,-0.172,-0.248,-0.443,0.184,-0.035,-0.371,-0.051,-0.261,-0.177,0.035,0.078,0.1,-0.203,-0.03,0.091,0.063,-0.126,0.086,-0.23,-0.122,-0.014,-0.28,-0.0,-0.071,0.186
150,1.458,1.764,-0.738,-0.322,-0.173,1.505,-0.507,0.535,0.111,0.834,0.252,0.983,0.194,-0.049,1.081,0.448,0.267,-0.113,0.13,0.239,0.075,0.167,-0.206,-0.111,0.548,-0.249,0.044,-0.061,0.248,0.091,0.636,-0.195,0.17,0.086,-0.02,0.143,0.489,0.165,0.04,-0.081,-0.032,-0.322,0.418,0.198,-0.103,-0.015,-0.076,0.359,0.22,0.068,0.056,-0.04,0.074,0.271,-0.167,-0.18,-0.003,-0.054,0.149,-0.033,0.0,-0.09,0.055,0.097,-0.013,-0.042,-0.017,-0.043,0.091,-0.013
200,1.473,1.675,-0.799,-0.209,-0.055,1.15,-0.393,0.513,-0.196,0.553,0.263,1.087,0.052,-0.075,0.763,0.414,0.06,-0.307,-0.185,0.486,-0.049,0.237,-0.349,-0.133,0.413,-0.269,0.201,-0.035,0.207,0.197,0.422,-0.047,0.064,-0.209,-0.005,0.005,0.363,0.201,-0.092,-0.133,-0.082,-0.356,0.273,0.268,0.121,0.045,-0.185,-0.036,0.239,-0.108,-0.104,-0.101,-0.12,0.076,0.005,-0.031,-0.043,-0.094,0.061,-0.014,-0.039,-0.01,0.058,-0.052,-0.035,-0.025,-0.076,0.027,-0.129,0.004
250,1.336,1.465,-0.882,-0.102,-0.07,0.986,-0.136,0.256,-0.208,0.567,0.349,0.925,0.022,0.161,0.342,0.095,0.161,-0.207,0.012,0.349,0.157,0.045,-0.175,-0.21,0.21,-0.205,-0.108,0.231,0.243,0.029,0.438,0.373,0.022,0.195,-0.212,0.06,0.177,-0.27,-0.061,-0.047,-0.081,-0.206,0.37,0.237,-0.005,0.099,-0.038,0.216,-0.076,0.148,-0.105,0.182,0.051,0.082,0.033,-0.024,-0.0,-0.157,-0.014,-0.079,-0.098,-0.151,0.01,0.04,-0.001,-0.103,-0.051,-0.023,0.089,0.093
300,1.524,1.459,-0.944,-0.091,0.034,1.112,-0.592,0.418,-0.156,0.541,0.216,1.057,0.091,-0.291,0.513,0.186,0.111,-0.068,-0.111,0.192,0.101,0.02,0.039,-0.103,0.321,-0.206,0.023,0.371,0.487,0.084,0.372,-0.023,-0.124,-0.024,-0.042,0.039,0.012,-0.07,-0.103,0.026,0.124,-0.111,0.268,0.272,-0.082,-0.01,-0.054,-0.089,0.082,-0.002,-0.087,0.003,0.014,-0.076,-0.029,-0.065,0.023,-0.156,-0.028,0.004,0.034,-0.158,0.004,-0.086,-0.077,-0.01,-0.121,-0.017,0.039,0.104
350,1.43,1.677,-1.077,-0.141,-0.186,1.361,-0.605,0.247,0.007,0.516,0.357,0.718,0.211,-0.253,0.584,0.015,0.013,0.017,0.205,-0.04,0.067,0.078,0.009,-0.153,0.29,-0.078,-0.12,0.353,0.395,-0.112,0.368,-0.163,0.065,0.224,-0.091,0.094,-0.029,-0.358,-0.065,0.134,0.068,-0.129,0.272,0.057,0.048,-0.027,-0.167,-0.074,-0.003,0.062,-0.193,0.317,0.092,0.093,0.064,-0.057,0.052,-0.151,-0.017,-0.157,0.041,-0.139,-0.009,-0.047,-0.111,-0.064,-0.063,-0.047,0.146,0.128
400,1.492,1.539,-0.848,-0.125,-0.069,1.058,-0.182,0.139,-0.13,0.523,0.339,1.067,-0.093,0.096,0.508,0.305,0.174,-0.109,-0.107,0.217,0.099,0.111,-0.065,-0.182,0.091,-0.144,-0.0,0.18,0.309,0.134,0.304,0.252,0.152,0.316,-0.107,0.062,0.317,-0.216,0.041,-0.052,0.004,-0.099,0.421,0.22,-0.227,0.104,0.096,0.147,-0.137,0.31,-0.175,0.253,0.096,0.15,-0.118,-0.144,0.058,-0.218,0.095,-0.2,0.01,-0.202,0.059,-0.014,-0.201,-0.074,-0.073,-0.008,0.182,0.178
450,1.504,1.365,-0.79,-0.172,-0.045,1.032,-0.284,0.321,-0.146,0.605,0.327,0.866,0.093,0.084,0.598,0.254,0.157,-0.166,-0.028,0.239,0.036,0.149,-0.151,-0.143,0.273,-0.208,0.122,0.043,0.158,0.004,0.349,-0.091,0.173,-0.018,-0.084,0.019,0.295,0.148,-0.01,0.044,0.085,-0.149,0.233,0.325,-0.013,0.038,-0.276,0.142,0.14,-0.026,0.02,0.011,-0.002,0.245,-0.005,-0.072,-0.044,-0.055,0.0,-0.029,-0.036,-0.035,0.029,0.039,0.0,-0.11,-0.014,-0.024,0.082,0.002
