timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.41,1.564,-0.92,0.065,-0.125,1.265,-0.58,0.421,0.007,0.368,0.296,0.693,0.302,-0.48,0.635,0.126,-0.118,0.008,0.095,-0.004,0.091,0.173,0.052,-0.182,0.384,-0.11,0.013,0.347,0.437,-0.097,0.295,-0.204,-0.165,-0.054,0.152,-0.022,-0.095,-0.116,0.013,0.09,0.274,-0.063,0.27,0.235,-0.185,-0.08,-0.093,-0.262,0.019,0.082,-0.192,0.109,0.027,-0.025,-0.046,-0.039,0.005,-0.124,0.034,-0.135,0.073,-0.138,0.033,-0.135,-0.262,-0.079,-0.12,-0.022,0.029,0.126
50,1.739,1.352,-0.822,-0.29,-0.026,1.088,-0.268,0.402,-0.25,0.683,0.373,1.114,0.045,0.074,0.569,0.14,0.163,-0.219,-0.085,0.471,0.142,0.115,-0.3,-0.202,0.377,-0.244,0.019,0.089,0.215,0.08,0.537,0.099,0.082,0.108,-0.121,0.094,0.312,-0.002,0.034,-0.027,0.016,-0.204,0.315,0.233,-0.014,0.053,-0.125,0.204,0.068,0.017,0.002,0.09,0.119,0.23,0.008,-0.172,-0.1,-0.079,0.057,-0.074,-0.055,-0.129,0.073,0.059,-0.033,-0.067,-0.039,-0.005,0.078,0.064
100,1.458,1.648,-0.961,-0.055,-0.04,1.107,-0.72,0.469,-0.068,0.574,0.253,0.75,0.089,-0.224,0.72,0.322,0.187,-0.113,0.017,0.296,0.35,0.368,-0.082,-0.196,0.221,-0.102,0.062,0.285,0.194,-0.02,0.25,-0.023,-0.085,-0.037,-0.005,0.034,0.133,-0.095,0.058,0.134,0.353,-0.084,0.304,0.417,-0.154,-0.047,-0.063,0.049,0.038,0.213,-0.083,0.08,0.157,0.033,-0.128,-0.196,-0.009,-0.143,0.072,-0.229,0.051,-0.255,0.053,-0.078,-0.34,-0.018,-0.035,-0.011,0.033,0.146
150,1.387,1.603,-0.912,-0.133,-0.125,1.195,-0.555,0.521,-0.071,0.535,0.274,0.833,0.206,-0.422,0.699,0.169,0.117,0.001,-0.012,0.106,0.099,0.116,-0.017,-0.21,0.45,-0.215,0.138,0.163,0.365,-0.035,0.389,-0.377,-0.121,0.014,0.003,0.222,0.004,-0.057,-0.014,0.036,0.117,-0.15,0.25,0.24,-0.071,-0.053,-0.155,0.097,-0.007,0.023,-0.091,0.083,0.011,0.068,-0.096,-0.042,-0.036,-0.112,0.045,-0.063,-0.005,-0.15,0.02,0.001,-0.156,-0.043,-0.022,-0.022,0.088,0.057
200,1.45,1.784,-0.9,-0.017,-0.35,1.35,-0.402,0.352,0.037,0.417,0.338,0.719,0.37,-0.342,0.638,-0.088,-0.071,-0.014,0.142,-0.01,-0.072,0.207,0.009,-0.267,0.363,-0.061,0.018,0.297,0.385,-0.157,0.25,-0.308,-0.051,0.034,-0.083,0.126,-0.127,-0.325,-0.096,0.19,0.183,-0.094,0.305,0.283,0.042,-0.147,-0.242,-0.205,0.076,0.097,-0.204,0.184,-0.067,0.035,0.002,-0.078,0.061,-0.134,0.006,-0.11,0.092,-0.127,0.019,-0.044,-0.093,-0.101,-0.146,0.001,0.011,0.131
250,1.602,1.267,-0.985,-0.228,0.057,1.162,-0.018,0.324,-0.247,0.574,0.441,0.992,0.061,0.286,0.508,0.17,0.188,-0.168,-0.091,0.198,-0.001,-0.067,-0.211,-0.141,0.383,-0.322,-0.005,0.073,0.336,0.037,0.538,0.16,0.076,0.237,-0.059,0.086,0.152,-0.102,-0.035,-0.298,-0.295,-0.35,0.411,0.084,-0.02,0.111,-0.202,0.26,-0.029,0.133,-0.082,0.302,0.121,0.36,-0.024,-0.154,-0.039,-0.038,0.133,-0.265,-0.045,-0.192,-0.075,0.091,-0.08,-0.046,0.026,0.037,0.212,0.11
300,1.538,1.74,-0.899,0.033,-0.054,1.194,-0.88,0.428,-0.09,0.499,0.297,1.04,-0.048,-0.363,0.799,0.502,0.217,-0.276,-0.131,0.337,0.333,0.602,-0.039,-0.046,0.081,0.045,0.257,0.408,0.012,0.293,0.094,-0.248,0.117,-0.044,0.241,-0.104,0.471,-0.026,0.053,0.29,0.48,0.16,0.284,0.5,-0.119,-0.102,0.147,-0.297,0.186,0.216,-0.141,0.117,-0.068,0.066,-0.352,-0.16,0.017,-0.165,0.118,-0.269,0.183,-0.227,0.116,0.026,-0.362,-0.133,-0.125,-0.081,0.008,0.086
350,1.636,1.48,-0.807,-0.178,-0.198,1.26,-0.313,0.264,-0.119,0.548,0.411,1.015,0.272,-0.14,0.597,0.108,0.06,-0.174,-0.005,0.113,0.07,0.079,-0.166,-0.112,0.338,-0.165,-0.05,0.112,0.248,-0.002,0.382,-0.142,-0.062,-0.036,0.054,-0.068,-0.016,0.101,-0.033,-0.055,0.059,-0.11,0.165,0.166,-0.08,-0.159,-0.19,-0.243,0.149,-0.067,-0.306,-0.014,-0.147,-0.149,0.118,0.011,0.034,-0.156,-0.039,-0.016,0.055,-0.103,0.056,-0.168,-0.099,0.01,-0.062,0.007,-0.012,0.12
400,1.39,1.643,-1.008,-0.114,-0.188,1.174,-0.426,0.413,-0.13,0.489,0.411,0.94,0.192,-0.306,0.372,-0.066,-0.092,-0.168,-0.11,0.203,-0.015,0.023,-0.129,-0.119,0.408,-0.157,-0.003,0.333,0.542,-0.037,0.291,-0.191,-0.14,-0.229,-0.054,0.086,-0.175,-0.262,-0.192,0.113,0.074,-0.196,0.211,0.171,0.017,-0.115,-0.26,-0.234,0.065,-0.05,-0.275,0.118,-0.095,0.006,0.151,0.097,0.119,-0.13,-0.044,0.016,-0.01,-0.067,-0.062,-0.106,0.066,-0.007,-0.262,0.039,0.047,0.117
450,1.389,1.78,-0.743,-0.173,-0.275,1.372,-0.363,0.301,0.015,0.572,0.431,0.767,0.366,-0.276,0.642,0.102,-0.071,-0.085,-0.004,-0.001,-0.034,0.029,-0.132,-0.202,0.374,-0.17,-0.031,0.226,0.447,-0.09,0.309,-0.263,-0.103,-0.074,0.082,0.083,-0.061,-0.043,-0.014,-0.004,0.087,-0.228,0.281,0.152,-0.064,-0.107,-0.232,-0.004,0.074,-0.041,-0.194,0.08,-0.006,0.002,0.066,0.033,0.044,-0.119,-0.068,-0.082,0.034,-0.086,0.001,-0.074,-0.041,-0.011,-0.206,0.043,0.017,0.09
