timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.246,1.813,-0.996,0.048,-0.359,1.295,-0.561,0.5,0.046,0.359,0.406,0.653,0.292,-0.508,0.432,-0.244,-0.197,-0.008,-0.037,-0.296,-0.037,0.024,0.094,-0.143,0.5,-0.236,0.108,0.228,0.517,-0.228,0.297,-0.578,-0.148,0.205,0.089,0.16,-0.401,-0.167,-0.128,-0.079,0.011,-0.108,0.232,-0.046,-0.064,-0.047,-0.108,-0.271,0.037,-0.019,-0.31,0.134,-0.081,-0.038,0.09,0.059,0.014,-0.069,-0.038,-0.095,0.113,-0.083,-0.06,-0.213,-0.107,0.018,-0.128,0.025,0.05,0.076
50,1.158,1.821,-0.969,0.14,-0.409,1.31,-0.647,0.253,0.224,0.211,0.379,0.565,0.437,-0.565,0.554,-0.178,-0.211,-0.098,0.114,-0.086,0.028,0.221,0.109,-0.163,0.262,0.058,-0.082,0.442,0.148,-0.129,0.17,-0.326,-0.011,0.084,0.247,-0.153,-0.168,-0.123,-0.088,0.126,0.329,-0.134,0.216,0.28,-0.059,-0.153,-0.103,-0.449,0.276,-0.097,-0.406,0.076,-0.111,-0.263,0.084,0.04,0.117,-0.181,-0.136,-0.026,0.206,-0.086,0.019,-0.245,-0.255,-0.03,-0.174,-0.008,-0.186,0.154
100,1.563,1.21,-0.893,-0.114,-0.043,1.085,-0.407,0.31,-0.024,0.511,0.122,0.906,0.098,-0.096,0.589,0.173,0.17,-0.091,-0.018,0.133,0.047,0.154,-0.089,-0.087,0.275,-0.181,0.024,0.07,0.271,0.078,0.364,-0.135,0.04,0.159,-0.132,0.185,0.164,0.023,-0.038,0.038,0.087,-0.186,0.297,0.287,-0.056,0.014,-0.075,0.05,0.156,0.022,-0.053,0.092,0.06,0.148,-0.092,-0.141,-0.027,-0.054,0.038,-0.083,0.005,-0.096,0.018,0.02,-0.042,-0.057,-0.04,-0.027,0.028,0.03
150,1.443,1.67,-0.901,-0.121,-0.011,1.283,-0.486,0.349,-0.104,0.601,0.322,0.938,0.151,-0.233,0.805,0.177,-0.024,0.013,0.013,-0.065,0.034,0.19,-0.044,-0.034,0.331,-0.085,0.074,0.211,0.464,0.02,0.288,-0.196,0.037,0.095,-0.041,0.068,0.179,0.135,0.009,-0.068,0.09,-0.254,0.328,0.231,-0.207,-0.09,-0.119,0.042,0.135,0.071,-0.173,-0.057,-0.082,-0.078,-0.06,0.039,0.123,-0.202,-0.151,-0.021,-0.017,-0.114,-0.025,-0.083,-0.08,-0.096,-0.185,0.014,-0.051,0.073
200,1.358,1.653,-1.065,0.014,-0.196,1.322,-0.565,0.405,0.006,0.379,0.344,0.716,0.285,-0.463,0.606,-0.154,-0.064,-0.057,0.002,-0.093,-0.048,0.015,-0.018,-0.025,0.289,-0.138,-0.031,0.221,0.449,-0.171,0.362,-0.316,-0.067,-0.005,0.091,0.1,-0.319,0.078,-0.137,0.018,0.266,-0.181,0.221,0.267,-0.192,-0.173,-0.327,-0.184,0.164,-0.13,-0.305,0.045,-0.067,-0.098,0.11,-0.002,0.028,-0.122,-0.071,-0.178,0.093,-0.107,-0.097,-0.147,-0.139,0.011,-0.216,0.036,-0.005,0.176
250,1.504,2.254,-0.655,-0.286,-0.087,1.516,-0.709,0.751,-0.066,0.618,0.159,1.047,0.231,-0.529,1.108,0.345,0.141,-0.001,-0.142,0.097,-0.132,0.13,-0.138,0.004,0.7,-0.265,0.23,-0.052,0.344,0.015,0.655,-0.618,-0.156,-0.101,0.171,0.093,-0.081,0.325,-0.238,-0.155,-0.065,-0.388,0.149,0.155,-0.128,-0.119,-0.38,-0.25,0.193,-0.248,-0.353,-0.183,-0.259,-0.18,0.186,0.293,0.117,-0.169,-0.093,0.21,-0.103,-0.005,-0.01,-0.159,0.041,0.023,-0.219,0.032,-0.128,0.048
300,1.382,1.786,-0.863,0.039,-0.234,1.365,-0.455,0.43,0.044,0.511,0.291,0.816,0.19,-0.098,0.654,0.198,0.079,-0.215,-0.028,0.135,0.181,0.25,-0.249,-0.265,0.224,-0.113,-0.07,0.235,0.179,-0.034,0.448,0.025,0.066,0.086,0.064,-0.018,0.084,-0.102,-0.016,0.015,0.141,-0.121,0.29,0.234,-0.026,0.005,-0.016,0.15,0.057,0.093,-0.123,0.138,0.124,0.124,-0.103,-0.136,0.023,-0.171,0.004,-0.21,0.104,-0.172,0.012,-0.055,-0.19,-0.055,-0.024,-0.003,0.04,0.11
350,1.487,1.764,-0.849,-0.159,-0.214,1.369,-0.518,0.311,-0.036,0.555,0.409,0.921,0.19,-0.155,0.663,0.131,0.121,-0.16,0.08,0.244,0.155,0.089,-0.165,-0.179,0.35,-0.14,-0.113,0.26,0.206,-0.083,0.436,-0.107,0.005,0.004,-0.038,-0.004,0.168,-0.119,0.063,0.063,0.142,-0.154,0.279,0.227,-0.12,0.017,-0.263,0.113,0.011,-0.085,-0.087,0.191,0.092,0.075,0.058,-0.104,-0.019,-0.126,-0.068,-0.084,0.016,-0.107,-0.077,0.007,-0.069,-0.052,-0.056,0.002,-0.023,0.072
400,1.921,1.586,-0.702,-0.146,-0.101,1.159,0.116,0.179,-0.21,0.696,0.483,1.113,0.091,0.292,0.342,0.158,-0.06,-0.137,-0.131,0.207,-0.084,0.006,-0.203,-0.231,0.236,-0.195,-0.071,-0.073,0.352,-0.023,0.386,0.433,-0.072,0.186,-0.35,0.1,0.198,0.119,-0.029,-0.146,-0.195,-0.243,0.312,0.449,-0.056,0.056,-0.388,0.33,0.02,0.084,-0.03,0.17,0.062,0.213,-0.012,-0.202,-0.035,-0.126,0.077,-0.198,-0.005,-0.175,0.008,0.071,0.096,-0.033,-0.062,0.048,0.212,0.099
450,1.425,1.492,-0.836,-0.288,0.044,1.01,-0.592,0.43,-0.156,0.585,0.163,0.969,0.011,-0.184,0.834,0.361,0.297,-0.148,-0.079,0.237,0.013,0.209,-0.171,-0.047,0.408,-0.2,0.266,-0.083,0.048,0.146,0.456,-0.359,-0.028,-0.08,-0.001,0.043,0.317,0.252,-0.057,-0.022,0.025,-0.152,0.166,0.432,-0.017,-0.073,-0.283,-0.023,0.233,-0.065,-0.147,0.013,-0.085,-0.029,-0.112,-0.097,0.089,-0.127,-0.057,-0.053,0.127,-0.136,0.035,-0.007,-0.268,-0.074,-0.093,0.029,-0.088,0.083
