timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.985,1.656,-0.967,-0.27,-0.195,1.458,-0.471,0.37,-0.076,0.508,0.416,0.907,0.281,-0.347,0.641,0.059,-0.045,0.004,0.106,-0.09,0.043,0.052,0.024,-0.117,0.445,-0.171,0.1,0.266,0.455,-0.227,0.391,-0.324,-0.165,0.095,0.039,0.074,-0.102,-0.193,-0.114,0.04,0.192,-0.157,0.223,0.282,-0.042,-0.026,-0.254,-0.205,0.12,-0.078,-0.174,0.063,-0.084,-0.153,-0.013,-0.082,-0.03,-0.16,-0.049,-0.088,0.078,-0.161,0.075,-0.148,-0.013,-0.017,-0.09,-0.003,0.075,0.137
50,1.403,1.395,-0.747,-0.117,-0.146,1.177,-0.343,0.19,-0.029,0.479,0.299,0.909,0.104,-0.019,0.498,0.287,0.16,-0.112,0.059,0.078,0.17,0.169,-0.055,-0.083,0.189,-0.085,0.102,0.114,0.259,-0.033,0.297,-0.013,0.131,0.228,-0.044,0.105,0.217,0.047,0.004,-0.081,0.272,-0.054,0.335,0.205,-0.295,-0.007,0.059,0.105,0.052,0.183,-0.04,0.108,0.19,0.284,-0.119,-0.233,-0.019,-0.116,0.162,-0.319,0.125,-0.187,-0.005,0.01,-0.234,-0.118,-0.041,0.007,0.089,0.046
100,1.703,1.436,-0.862,-0.147,-0.161,1.094,-0.349,-0.006,-0.045,0.461,0.421,0.967,0.102,0.024,0.375,0.131,0.057,-0.138,0.169,0.227,0.287,0.311,-0.034,-0.121,-0.139,0.07,-0.146,0.376,0.25,0.024,0.173,0.204,0.166,0.194,-0.0,0.009,0.455,-0.028,0.103,0.099,0.391,0.044,0.298,0.241,-0.296,-0.084,0.154,0.019,0.229,0.158,-0.039,0.136,0.121,0.126,-0.285,-0.204,0.046,-0.181,0.062,-0.266,0.215,-0.155,0.103,0.022,-0.313,-0.102,-0.136,-0.007,-0.011,0.085
150,1.443,1.62,-0.908,-0.083,-0.14,1.143,-0.227,0.181,-0.008,0.522,0.297,1.022,0.11,0.2,0.42,0.152,-0.01,-0.159,0.013,0.143,0.078,0.148,-0.264,-0.156,0.127,-0.185,-0.287,0.285,0.187,0.111,0.3,0.129,0.152,0.201,-0.053,0.071,0.217,-0.044,-0.012,-0.085,0.026,-0.131,0.385,0.154,-0.245,-0.002,0.025,0.107,0.099,0.109,-0.035,0.122,0.056,0.183,-0.122,-0.147,0.017,-0.21,0.092,-0.209,0.093,-0.108,-0.001,-0.014,-0.139,-0.069,-0.018,-0.046,0.067,0.087
200,1.832,1.632,-0.957,-0.131,-0.257,1.605,-0.101,0.234,0.065,0.527,0.51,0.902,0.377,-0.171,0.471,-0.242,-0.046,-0.048,0.165,-0.143,-0.049,-0.222,-0.109,-0.179,0.437,-0.301,-0.093,0.092,0.524,-0.298,0.56,-0.273,-0.042,-0.049,-0.045,0.211,-0.205,-0.009,-0.184,-0.146,0.053,-0.287,0.26,-0.093,-0.049,-0.081,-0.353,0.137,0.094,-0.146,-0.056,-0.01,0.105,0.169,0.313,0.012,-0.075,-0.039,-0.098,-0.073,-0.009,-0.07,-0.136,-0.059,0.031,-0.019,-0.089,0.029,0.069,0.059
250,1.918,1.322,-0.795,-0.226,0.134,1.167,-0.258,0.267,-0.239,0.615,0.209,1.031,0.006,0.16,0.584,0.53,0.16,0.015,0.006,0.2,0.091,0.148,-0.158,-0.124,0.24,-0.15,0.073,0.032,0.368,0.042,0.476,0.167,0.035,0.302,-0.237,0.143,0.339,-0.006,0.017,-0.013,-0.013,-0.171,0.412,0.294,-0.128,0.045,-0.254,0.294,-0.002,0.175,0.099,0.168,0.219,0.364,-0.065,-0.111,-0.071,-0.047,0.077,-0.194,-0.096,-0.183,-0.015,0.091,-0.017,-0.132,0.03,-0.029,0.212,0.024
300,1.525,1.438,-0.82,-0.067,-0.174,1.164,-0.535,0.278,-0.019,0.47,0.287,0.79,0.097,-0.249,0.589,0.287,0.113,-0.018,0.067,0.069,0.079,0.303,-0.002,-0.197,0.197,0.018,0.08,0.197,0.131,-0.068,0.241,-0.158,0.008,0.189,-0.02,0.037,0.255,0.024,0.032,0.132,0.254,-0.101,0.359,0.388,-0.207,-0.004,-0.055,-0.069,0.203,0.007,-0.172,-0.029,-0.011,-0.053,-0.106,-0.016,0.04,-0.167,-0.144,-0.107,0.19,-0.069,0.034,-0.099,-0.231,-0.163,-0.051,0.024,-0.138,0.055
350,1.601,1.73,-0.938,-0.288,-0.234,1.33,-0.347,0.11,0.03,0.417,0.417,0.971,0.166,-0.036,0.544,0.185,0.07,-0.092,0.213,0.114,0.115,0.214,0.022,-0.228,0.022,-0.017,-0.309,0.511,0.25,0.106,0.209,0.277,0.204,0.099,-0.024,-0.088,0.437,-0.124,0.138,0.019,0.231,-0.075,0.415,0.367,-0.269,-0.034,0.043,0.115,0.164,0.221,-0.141,0.217,0.115,0.112,-0.127,-0.264,0.016,-0.219,0.083,-0.387,0.197,-0.203,0.056,-0.04,-0.256,-0.049,-0.069,0.008,0.055,0.147
400,1.472,1.734,-0.992,-0.002,-0.33,1.313,-0.246,0.336,-0.033,0.256,0.501,0.675,0.34,-0.247,0.45,-0.159,-0.056,-0.091,0.037,-0.154,-0.102,-0.167,-0.121,-0.128,0.362,-0.161,0.048,0.18,0.397,-0.263,0.349,-0.179,-0.04,0.032,-0.043,0.061,-0.244,-0.13,-0.143,-0.093,0.169,-0.293,0.293,0.092,0.025,-0.08,-0.259,-0.114,0.005,-0.082,-0.153,0.012,-0.023,-0.129,0.22,0.103,0.059,-0.124,-0.101,0.009,0.016,-0.089,-0.016,-0.123,0.029,-0.056,-0.082,0.039,0.091,0.107
450,1.646,1.688,-0.868,-0.196,-0.075,1.182,-0.235,0.152,-0.128,0.47,0.278,0.864,0.228,-0.144,0.558,0.08,-0.003,-0.146,0.069,0.209,0.035,0.156,-0.144,-0.108,0.152,-0.032,-0.093,0.204,0.298,-0.056,0.279,0.036,-0.065,0.017,0.008,0.045,0.066,0.038,-0.131,-0.05,0.185,-0.163,0.271,0.129,-0.205,-0.109,-0.121,-0.082,0.092,-0.161,-0.161,-0.008,-0.072,-0.028,0.124,0.061,0.006,-0.17,-0.081,-0.021,-0.019,-0.029,-0.012,-0.113,-0.079,-0.015,-0.086,0.022,-0.039,0.065
