timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.399,1.346,-1.04,-0.093,0.128,0.951,-0.462,0.244,0.034,0.556,0.26,0.727,-0.092,-0.066,0.522,0.291,0.218,-0.184,0.04,0.165,0.29,0.374,-0.035,-0.104,-0.04,-0.023,-0.006,0.118,-0.058,0.086,0.383,0.245,0.296,0.351,-0.1,-0.028,0.658,0.047,0.115,0.012,0.202,0.049,0.368,0.34,-0.195,-0.026,0.229,0.062,0.217,0.188,-0.06,0.188,0.07,0.14,-0.272,-0.138,0.058,-0.213,0.074,-0.207,0.18,-0.107,0.177,0.035,-0.344,-0.181,0.032,-0.058,-0.029,0.066
50,1.575,1.557,-0.749,-0.15,-0.07,1.286,-0.381,0.328,-0.006,0.71,0.184,0.932,0.219,0.0,0.826,0.35,0.269,-0.068,0.051,0.116,0.056,0.241,-0.285,-0.118,0.385,-0.198,0.118,-0.05,0.198,0.05,0.564,-0.28,0.06,0.228,0.053,0.13,0.264,0.3,-0.062,-0.153,-0.046,-0.319,0.294,0.068,-0.137,0.013,-0.092,0.303,0.126,-0.078,0.077,0.066,0.147,0.271,-0.063,-0.041,-0.001,-0.088,0.038,0.026,-0.042,-0.011,-0.035,0.019,-0.03,-0.004,0.034,-0.033,0.03,-0.007
100,1.234,1.565,-0.83,-0.075,0.118,0.864,-0.598,0.289,-0.144,0.492,0.185,0.847,0.036,-0.185,0.632,0.382,0.138,-0.248,-0.127,0.416,0.286,0.289,-0.148,-0.144,0.107,-0.083,0.181,0.163,0.077,0.133,0.288,-0.036,-0.013,-0.087,0.12,-0.169,0.2,0.198,0.032,-0.014,0.265,-0.171,0.159,0.353,-0.094,0.038,-0.062,0.013,0.089,-0.036,-0.063,-0.044,0.028,0.056,-0.111,-0.029,-0.003,-0.067,-0.032,-0.055,0.012,-0.056,0.011,-0.013,-0.198,-0.066,-0.016,-0.03,-0.03,0.031
150,1.392,1.498,-0.746,-0.027,0.025,0.822,-0.792,0.364,-0.115,0.348,0.226,0.903,-0.083,-0.457,0.508,0.25,0.048,-0.152,-0.193,0.214,0.267,0.292,-0.091,0.032,0.166,-0.088,0.243,0.196,0.05,0.17,0.193,-0.403,-0.187,-0.103,0.242,-0.043,0.228,0.234,-0.076,0.064,0.363,0.04,0.159,0.387,-0.244,-0.191,0.044,-0.375,0.33,-0.087,-0.131,-0.114,-0.165,-0.136,-0.201,-0.146,0.034,-0.108,0.047,-0.104,0.25,-0.016,0.14,-0.137,-0.338,-0.12,-0.122,-0.009,-0.17,0.061
200,1.577,1.517,-0.881,-0.094,-0.11,1.252,-0.519,0.439,0.026,0.448,0.279,0.962,0.279,-0.35,0.584,0.025,0.043,0.015,0.177,-0.14,0.04,0.077,0.017,-0.045,0.373,-0.219,0.107,0.201,0.383,-0.135,0.369,-0.487,-0.025,0.095,0.063,0.127,0.015,-0.102,-0.037,0.02,0.315,-0.143,0.349,0.11,-0.192,-0.128,-0.085,-0.19,0.111,0.086,-0.141,-0.012,-0.037,-0.033,-0.024,-0.043,0.016,-0.182,-0.069,-0.085,0.134,-0.081,0.013,-0.163,-0.204,-0.098,-0.166,0.002,-0.024,0.069
250,1.437,1.608,-0.887,0.029,-0.178,1.099,-0.717,0.216,0.02,0.434,0.357,0.743,0.099,-0.359,0.525,0.066,0.055,0.022,0.089,-0.06,0.302,0.274,0.09,-0.147,0.12,0.011,0.013,0.358,0.188,-0.034,0.135,-0.306,0.042,0.059,0.089,0.059,0.077,-0.218,-0.007,0.267,0.35,0.083,0.227,0.253,-0.152,-0.096,-0.027,-0.161,0.132,0.013,-0.118,-0.001,-0.038,-0.136,-0.135,-0.082,-0.008,-0.185,-0.096,-0.171,0.185,-0.097,0.088,-0.122,-0.291,-0.078,-0.17,0.006,-0.064,0.121
300,1.438,1.811,-0.941,-0.278,-0.021,1.186,-0.487,0.474,-0.165,0.648,0.362,0.892,0.159,-0.234,0.643,0.158,0.058,-0.128,-0.062,0.189,0.101,-0.053,-0.145,-0.076,0.468,-0.255,-0.068,0.247,0.55,-0.1,0.411,-0.151,-0.169,-0.02,-0.015,0.074,-0.108,-0.008,-0.065,-0.035,-0.076,-0.313,0.172,0.145,-0.165,-0.08,-0.33,0.011,-0.009,-0.119,-0.179,0.085,-0.014,0.063,0.122,-0.009,-0.049,-0.079,-0.001,-0.043,-0.07,-0.054,-0.014,-0.136,0.009,-0.069,-0.016,0.018,0.086,0.107
350,1.644,1.661,-0.736,-0.076,-0.213,1.29,-0.517,0.406,0.044,0.566,0.309,0.933,0.174,-0.133,0.756,0.32,0.072,-0.198,-0.01,0.151,0.071,0.349,-0.172,-0.037,0.249,-0.199,0.081,0.005,0.316,-0.032,0.264,-0.311,0.019,-0.082,0.126,0.102,0.292,0.313,0.002,-0.003,0.164,-0.19,0.303,0.326,-0.168,-0.04,-0.184,-0.047,0.231,-0.053,0.025,-0.067,-0.018,0.163,-0.156,-0.144,-0.045,-0.133,0.022,-0.129,0.112,-0.078,0.112,0.001,-0.225,-0.128,-0.009,0.002,-0.004,0.06
400,1.234,1.712,-1.037,0.07,-0.206,1.228,-0.703,0.291,0.084,0.373,0.346,0.623,0.276,-0.616,0.491,-0.131,-0.088,0.01,0.088,-0.09,0.166,0.207,0.116,-0.207,0.218,-0.042,-0.023,0.492,0.29,-0.075,0.156,-0.323,-0.075,0.049,0.087,0.022,-0.141,-0.159,-0.058,0.205,0.337,0.029,0.248,0.2,-0.131,-0.202,0.019,-0.16,0.094,0.064,-0.154,0.105,-0.024,-0.046,-0.165,-0.063,0.01,-0.129,0.032,-0.207,0.127,-0.124,0.018,-0.134,-0.238,0.022,-0.195,-0.001,0.015,0.121
450,1.552,1.747,-0.937,-0.083,-0.099,1.082,-0.511,0.32,-0.121,0.318,0.362,0.629,0.093,-0.457,0.376,0.036,-0.037,-0.009,-0.145,-0.016,0.094,0.155,0.018,-0.07,0.178,-0.029,0.139,0.328,0.37,-0.038,0.227,-0.117,-0.173,0.054,-0.002,0.103,-0.051,-0.041,-0.118,-0.027,0.233,-0.062,0.163,0.13,-0.078,-0.068,-0.057,-0.269,-0.055,0.028,-0.193,0.109,-0.053,0.066,0.031,0.117,0.007,-0.106,-0.048,-0.104,0.008,-0.11,-0.033,-0.052,-0.124,-0.067,-0.139,0.018,0.022,0.05
