timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.218,2.121,-0.687,-0.193,0.087,1.14,-0.935,0.836,-0.073,0.778,0.048,1.031,0.045,-0.372,1.116,0.633,0.227,-0.221,-0.217,0.353,0.136,0.324,-0.221,0.047,0.566,-0.29,0.347,-0.085,0.229,0.182,0.475,-0.703,-0.224,-0.325,0.292,0.076,0.184,0.432,-0.069,-0.002,0.183,-0.259,0.053,0.186,-0.152,-0.106,-0.115,-0.079,0.23,-0.216,-0.119,-0.301,-0.132,-0.113,-0.151,-0.03,0.014,-0.104,0.035,0.229,0.033,0.056,0.142,-0.126,-0.183,0.017,-0.052,-0.068,-0.14,-0.036
50,1.41,1.777,-1.038,-0.01,-0.153,1.546,-0.626,0.531,-0.017,0.576,0.368,0.85,0.398,-0.297,0.786,0.033,-0.024,0.065,0.272,-0.087,0.124,0.107,0.002,-0.157,0.397,-0.256,0.059,0.224,0.659,-0.169,0.501,-0.239,-0.078,0.163,0.012,0.201,-0.069,-0.047,-0.009,-0.048,0.121,-0.322,0.336,0.031,-0.111,0.013,-0.178,0.065,-0.106,-0.043,-0.123,0.098,0.103,0.06,0.066,0.004,0.048,-0.111,-0.022,-0.01,-0.049,-0.095,-0.021,-0.064,-0.031,-0.063,-0.038,-0.026,0.143,0.062
100,1.406,1.224,-0.953,0.014,0.14,1.002,-0.405,0.317,-0.074,0.503,0.302,0.867,0.01,-0.092,0.568,0.289,0.14,-0.218,-0.09,0.148,0.27,0.226,-0.1,-0.084,0.055,-0.166,0.01,0.091,0.131,0.07,0.241,0.04,0.05,-0.039,0.075,-0.059,0.333,0.129,0.082,0.034,0.275,-0.014,0.326,0.39,-0.212,-0.082,0.034,-0.002,0.165,0.1,-0.038,0.021,0.098,0.071,-0.197,-0.207,0.065,-0.159,0.034,-0.231,0.177,-0.189,0.064,-0.066,-0.333,-0.076,-0.058,0.005,0.01,0.129
150,1.338,1.671,-1.023,-0.052,-0.184,1.118,-0.384,0.178,-0.114,0.306,0.424,0.704,0.149,-0.225,0.359,-0.075,-0.101,-0.019,0.011,0.074,0.078,0.037,0.09,-0.157,0.109,-0.131,-0.178,0.471,0.463,-0.047,0.355,0.113,0.023,0.118,-0.096,-0.031,-0.043,-0.214,-0.053,-0.036,0.012,-0.132,0.256,0.119,-0.043,0.095,-0.093,-0.106,0.067,0.012,-0.298,0.168,-0.001,0.02,0.089,0.061,0.08,-0.168,-0.028,-0.11,0.01,-0.08,-0.068,-0.096,-0.018,0.024,-0.125,0.04,0.02,0.07
200,1.579,1.521,-0.825,-0.256,-0.247,1.23,-0.231,0.087,-0.128,0.491,0.32,1.196,0.23,0.102,0.516,0.247,0.088,-0.114,0.106,0.285,0.076,0.213,-0.195,-0.187,0.19,-0.087,-0.041,0.312,0.262,0.058,0.365,-0.036,0.021,0.249,-0.065,0.029,0.224,-0.172,-0.099,-0.071,0.124,-0.195,0.441,0.169,-0.145,-0.04,0.06,0.114,0.068,0.24,-0.037,0.26,0.132,0.294,-0.103,-0.254,-0.072,-0.124,0.17,-0.316,0.028,-0.187,0.059,0.004,-0.105,-0.105,-0.021,0.003,0.135,0.088
250,1.297,1.345,-0.922,-0.046,-0.006,0.934,-0.605,0.328,-0.114,0.363,0.249,0.71,0.015,-0.367,0.473,-0.005,-0.042,0.043,-0.035,0.023,0.17,0.154,0.126,-0.042,0.183,-0.049,0.054,0.296,0.348,0.019,0.213,-0.12,-0.04,0.054,-0.079,-0.022,0.093,-0.033,-0.045,0.141,0.283,-0.085,0.24,0.226,-0.155,0.018,-0.039,-0.138,0.076,0.024,-0.216,0.129,0.03,-0.028,0.069,-0.03,0.068,-0.149,-0.048,-0.052,0.104,-0.059,-0.022,-0.122,-0.175,-0.025,-0.139,0.032,-0.027,0.076
300,1.566,1.69,-0.896,-0.073,-0.228,1.234,-0.32,0.256,-0.02,0.291,0.24,0.544,0.196,-0.221,0.449,-0.016,-0.065,0.084,0.167,-0.091,-0.06,0.017,0.172,-0.217,0.109,-0.098,-0.145,0.372,0.504,-0.118,0.239,0.131,0.06,0.354,-0.275,0.001,-0.104,-0.173,-0.143,-0.016,0.122,-0.079,0.326,0.223,-0.115,0.022,-0.14,0.121,-0.042,0.157,-0.104,0.212,0.183,0.156,0.097,0.013,-0.035,-0.176,-0.05,-0.252,0.032,-0.116,-0.085,-0.067,-0.102,-0.01,-0.096,-0.018,0.106,0.149
350,1.488,1.562,-1.118,0.028,-0.262,1.293,-0.363,0.291,0.032,0.495,0.546,0.601,0.226,-0.284,0.453,-0.206,-0.016,0.033,0.158,-0.237,0.067,-0.039,0.138,-0.248,0.306,-0.077,-0.188,0.361,0.319,-0.252,0.306,-0.159,0.039,0.304,-0.037,0.138,-0.068,-0.348,0.119,0.055,0.161,-0.1,0.34,0.189,-0.166,-0.016,0.022,-0.038,0.07,0.235,-0.211,0.197,0.079,0.018,-0.054,-0.119,0.093,-0.24,-0.068,-0.218,0.209,-0.187,-0.006,-0.138,-0.29,-0.036,-0.101,-0.003,0.098,0.175
400,1.504,1.365,-0.748,-0.02,-0.185,1.019,-0.497,0.026,0.024,0.279,0.187,0.787,0.18,-0.129,0.417,0.163,0.08,-0.058,0.144,0.092,0.27,0.371,0.05,-0.23,-0.092,0.087,-0.189,0.416,0.16,0.054,0.071,-0.03,0.007,0.132,0.095,-0.092,0.174,-0.041,0.035,0.203,0.39,0.085,0.256,0.362,-0.35,-0.073,0.169,-0.04,0.174,0.138,-0.088,0.035,0.086,0.059,-0.237,-0.168,0.012,-0.183,-0.004,-0.274,0.235,-0.13,0.074,-0.066,-0.374,-0.072,-0.022,-0.015,0.027,0.118
450,1.665,1.627,-1.091,0.004,-0.245,1.474,-0.315,0.24,0.038,0.392,0.581,0.699,0.336,-0.398,0.509,-0.031,-0.071,-0.025,0.095,-0.214,0.013,0.155,0.024,-0.088,0.271,-0.127,0.093,0.3,0.353,-0.166,0.239,-0.073,0.119,0.14,-0.036,0.052,-0.041,0.024,-0.107,-0.045,0.166,-0.194,0.272,0.144,-0.119,-0.006,-0.168,0.07,0.136,0.04,-0.148,0.149,0.074,0.112,0.059,0.014,0.065,-0.213,-0.057,-0.097,0.016,-0.04,-0.067,-0.098,-0.063,-0.012,-0.111,0.042,0.016,0.072
